OBJECTID,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,Name_1,Area_m2
1,17,31,842300,17031842300,8423,Census Tract 8423,G5020,S,1741942,135729,41.9097236,-87.6606398,292,7932
2,17,31,841900,17031841900,8419,Census Tract 8419,G5020,S,2496100,68430,41.8684578,-87.6429648,153,82178
3,17,31,252201,17031252201,2522.01,Census Tract 2522.01,G5020,S,386790,0,41.8766958,-87.7521051,57,127
4,17,31,252202,17031252202,2522.02,Census Tract 2522.02,G5020,S,637446,0,41.8767584,-87.7445832,57,87939
5,17,31,243300,17031243300,2433,Census Tract 2433,G5020,S,327093,0,41.8924781,-87.6647388,292,37222
6,17,31,243400,17031243400,2434,Census Tract 2434,G5020,S,328390,0,41.892566,-87.659854,292,32693
7,17,31,241500,17031241500,2415,Census Tract 2415,G5020,S,302473,0,41.908374,-87.6709298,324,17671
8,17,31,250300,17031250300,2503,Census Tract 2503,G5020,S,618881,0,41.9128483,-87.7608528,16,79200
9,17,31,250400,17031250400,2504,Census Tract 2504,G5020,S,1308325,0,41.912905,-87.7754058,16,7122
10,17,31,242000,17031242000,2420,Census Tract 2420,G5020,S,326757,0,41.8997371,-87.6649536,292,4114
11,17,31,282700,17031282700,2827,Census Tract 2827,G5020,S,439297,0,41.8713668,-87.6886812,128,15921
12,17,31,282800,17031282800,2828,Census Tract 2828,G5020,S,164404,0,41.8702683,-87.6849136,260/275,16280
13,17,31,283100,17031283100,2831,Census Tract 2831,G5020,S,216513,0,41.8692741,-87.664092,55,2416
14,17,31,271500,17031271500,2715,Census Tract 2715,G5020,S,162821,0,41.8717861,-87.7131559,244,34393
15,17,31,280900,17031280900,2809,Census Tract 2809,G5020,S,114689,0,41.8786261,-87.6851324,128,10291
16,17,31,280800,17031280800,2808,Census Tract 2808,G5020,S,237357,0,41.8785967,-87.6889009,128,17182
17,17,31,240200,17031240200,2402,Census Tract 2402,G5020,S,166088,0,41.9124417,-87.6701816,324,2044
18,17,31,251400,17031251400,2514,Census Tract 2514,G5020,S,688028,0,41.8909574,-87.7701248,268,86765
19,17,31,230700,17031230700,2307,Census Tract 2307,G5020,S,647089,0,41.9063229,-87.7215397,306,4579
20,17,31,230800,17031230800,2308,Census Tract 2308,G5020,S,204403,0,41.9058396,-87.714953,306,31661
21,17,31,230900,17031230900,2309,Census Tract 2309,G5020,S,451725,0,41.9066918,-87.7103505,306,49779
22,17,31,300800,17031300800,3008,Census Tract 3008,G5020,S,325846,0,41.8481108,-87.7075818,157,14786
23,17,31,240300,17031240300,2403,Census Tract 2403,G5020,S,166319,0,41.9123693,-87.6750677,324,69109
24,17,31,240900,17031240900,2409,Census Tract 2409,G5020,S,958058,42315,41.9048448,-87.6986233,281,1961
25,17,31,842900,17031842900,8429,Census Tract 8429,G5020,S,2208391,0,41.8631389,-87.6729371,55,83486
26,17,31,843500,17031843500,8435,Census Tract 8435,G5020,S,1890168,143193,41.8409834,-87.6975661,157,3896
27,17,31,836700,17031836700,8367,Census Tract 8367,G5020,S,1227830,0,41.8917041,-87.7021747,281,22844
28,17,31,836600,17031836600,8366,Census Tract 8366,G5020,S,634181,0,41.8986973,-87.7088059,281,66960
29,17,31,838000,17031838000,8380,Census Tract 8380,G5020,S,538297,0,41.8773666,-87.6806521,128,42525
30,17,31,301801,17031301801,3018.01,Census Tract 3018.01,G5020,S,694937,0,41.8416597,-87.7350509,49,74029
31,17,31,837300,17031837300,8373,Census Tract 8373,G5020,S,368498,0,41.8716191,-87.7055524,244,54525
32,17,31,838200,17031838200,8382,Census Tract 8382,G5020,S,1151290,0,41.8704149,-87.675126,55,1855
33,17,31,838200,17031838200,8382,Census Tract 8382,G5020,S,1151290,0,41.8704149,-87.675126,260/275,63277
34,17,31,840800,17031840800,8408,Census Tract 8408,G5020,S,328679,0,41.8408329,-87.707371,157,65097
35,17,31,830500,17031830500,8305,Census Tract 8305,G5020,S,3827807,285801,41.8291246,-87.7193199,49,13409
