OBJECTID,date_bldg_,bldg_condi,date_bld_2,bldg_id,bldg_sq_fo,bldg_statu,date_condi,time_condi,f_add1,harris_str,label_hous,no_of_unit,orig_bldg_,pre_dir1,date_qc_da,time_qc_da,qc_source,qc_userid,st_name1,st_type1,stories,suf_dir1,t_add1,x_coord,y_coord,year_built,Name
1,4/1/1998 0:00,SOUND,4/1/1998 0:00,368374,1674,ACTIVE,11/1/2002 0:00,00:00.0,3434,1.61441E+12,3434,1,368374,W,6/16/2003 0:00,00:00.0,PARCELS,DS06284,POLK,ST,3, ,3434,1153455.253,1896280.797,1995,244
2,4/1/1998 0:00,NEEDS MINOR REPAIR,4/1/1998 0:00,341243,4212,ACTIVE,3/1/2003 0:00,00:00.0,725,1.7081E+12,725,3,341243,N,6/16/2003 0:00,00:00.0,PARCELS,DS06284,ADA,ST,3, ,725,1167259.953,1905103.18,1892,292
3,4/1/1998 0:00,SOUND,4/1/1998 0:00,362701,0,ACTIVE,10/1/2001 0:00,00:00.0,2334,1.71812E+12,2334,65,362701,W,,, , ,VAN BUREN,ST,7, ,2334,1160809.784,1898263.649,1977,128
4,4/1/1998 0:00, ,4/1/1998 0:00,368375,0,ACTIVE,,,3306, ,3306,0,368375,W,,, , ,POLK,ST,0, ,3308,1154383.192,1896264.362,0,244
6,4/1/1998 0:00, ,4/1/1998 0:00,360729,0,ACTIVE,,,124, ,124,0,360729,S,,, , ,KILPATRICK,AVE,0, ,124,1145027.727,1898829.22,0,57
8,4/1/1998 0:00,SOUND,4/1/1998 0:00,315653,1552,ACTIVE,10/1/2001 0:00,00:00.0,3452,1.60221E+12,3452,1,315653,W,6/16/2003 0:00,00:00.0,PARCELS,DS06284,HIRSCH,ST,2, ,3452,1152839.887,1909171.992,1904,306
9,4/1/1998 0:00, ,4/1/1998 0:00,317557,0,ACTIVE,,,0, ,0,0,317557, ,,, , , , ,0, ,0,1152358.758,1908895.461,0,306
10,4/1/1998 0:00,NEEDS MINOR REPAIR,4/1/1998 0:00,346019,4552,ACTIVE,12/1/2001 0:00,00:00.0,5724,1.60821E+12,5724,6,346019,W,6/16/2003 0:00,00:00.0,PARCELS,DS06284,HURON,ST,2, ,5726,1137906.045,1904161.165,1927,268
11,4/1/1998 0:00,SOUND,4/1/1998 0:00,405728,2460,ACTIVE,12/1/2001 0:00,00:00.0,2829,1.62742E+12,2829,1,405728,S,6/16/2003 0:00,00:00.0,PARCELS,DS06284,KOLIN,AVE,2, ,2829,1147926.079,1884709.085,1899,49
12,4/1/1998 0:00, ,4/1/1998 0:00,369840,0,ACTIVE,,,0, ,0,0,369840, ,,, , , , ,0, ,0,1161338.251,1895823.748,0,260/275
14,4/1/1998 0:00, ,4/1/1998 0:00,409373,0,ACTIVE,,,0, ,0,0,409373, ,,, , , , ,0, ,0,1147690.864,1883961.399,0,49
15,4/1/1998 0:00,SOUND,4/1/1998 0:00,348547,2724,ACTIVE,12/1/2001 0:00,00:00.0,5747,1.60821E+12,5747,2,348547,W,6/16/2003 0:00,00:00.0,PARCELS,DS06284,ERIE,ST,2, ,5747,1137725.071,1903630.02,1913,268
16,4/1/1998 0:00, ,4/1/1998 0:00,340515,0,ACTIVE,,,1444, ,1444,0,340515,W,,, , ,SUPERIOR,ST,0, ,1448,1166411.081,1905213.353,0,292
17,4/1/1998 0:00, ,4/1/1998 0:00,317550,0,ACTIVE,,,0, ,0,0,317550, ,,, , , , ,0, ,0,1152437.252,1908897.399,0,306
18,4/1/1998 0:00,NEEDS MINOR REPAIR,4/1/1998 0:00,342024,0,ACTIVE,3/1/2003 0:00,00:00.0,711,1.7081E+12,711,2,342024,N,6/16/2003 0:00,00:00.0,PARCELS,DS06284,NOBLE,ST,2, ,711,1166997.61,1904949.18,1921,292
21,4/1/1998 0:00, ,4/1/1998 0:00,300448,0,ACTIVE,,,0, ,0,0,300448, ,,, , , , ,0, ,0,1163306.361,1911231.338,0,324
22,4/1/1998 0:00, ,4/1/1998 0:00,813188,0,ACTIVE,,,807, ,807,0,813188,W,,, , ,14TH,PL,0, ,807,1171170.024,1893112.679,0,153
23,6/29/2006 0:00,SOUND,6/29/2006 0:00,833598,0,ACTIVE,6/29/2006 0:00,00:00.0,3519, ,3519,0,833598,W,6/29/2006 0:00,00:00.0, ,DT00255,POLK,ST,0, ,3519,1152893.543,1896080.339,2004,244
24,4/1/1998 0:00, ,4/1/1998 0:00,406541,0,ACTIVE,,,0, ,0,0,406541, ,,, , , , ,0, ,0,1147717.11,1884575.933,0,49
25,4/1/1998 0:00, ,4/1/1998 0:00,368685,0,ACTIVE,,,0, ,0,0,368685, ,,, , , , ,0, ,0,1161042.614,1896174.331,0,260/275
27,4/1/1998 0:00,UNINHABITABLE,4/1/1998 0:00,373514,800,ACTIVE,10/1/2001 0:00,00:00.0,1315,1.72011E+12,1315,1,373514,S,6/16/2003 0:00,00:00.0,PARCELS,DS06284,ASHLAND,AVE,2, ,1315,1166013.481,1893950.646,1909,55
28,4/1/1998 0:00, ,4/1/1998 0:00,301451,0,ACTIVE,,,0, ,0,0,301451, ,,, , , , ,0, ,0,1139605.613,1911115.776,0,16
31,4/1/1998 0:00,NEEDS MINOR REPAIR,4/1/1998 0:00,331454,3633,ACTIVE,10/1/2001 0:00,00:00.0,3236,1.60241E+12,3236,4,331454,W,6/16/2003 0:00,00:00.0,PARCELS,DS06284,AUGUSTA,BLVD,3, ,3236,1154434.603,1906549.301,1917,281
32,11/28/2007 0:00,SOUND,11/28/2007 0:00,869119,0,ACTIVE,2/27/2005 0:00,00:00.0,913,1.71832E+12,913,2,869118,S,11/28/2007 0:00,00:00.0, ,DT00255,OAKLEY,BLVD,2, ,913,1161271.343,1895837.739,1884,260/275
34,4/1/1998 0:00, ,4/1/1998 0:00,404613,0,ACTIVE,,,0, ,0,0,404613, ,,, , , , ,0, ,0,1147666.896,1884901.585,0,49
36,4/1/1998 0:00, ,4/1/1998 0:00,345851,0,ACTIVE,,,0, ,0,0,345851, ,,, , , , ,0, ,0,1137715.081,1904224.338,0,268
39,4/1/1998 0:00,SOUND,4/1/1998 0:00,299391,2280,ACTIVE,3/1/2003 0:00,00:00.0,1754,1.33331E+12,1754,2,299391,N,6/16/2003 0:00,00:00.0,PARCELS,DS06284,LINDER,AVE,2, ,1754,1139368.919,1911347.961,1927,16
40,4/1/1998 0:00, ,4/1/1998 0:00,399159,0,ACTIVE,,,0, ,0,0,399159, ,,, , , , ,0, ,0,1154610.005,1886052.399,0,157
41,4/1/1998 0:00,SOUND,4/1/1998 0:00,406297,2116,ACTIVE,12/1/2001 0:00,00:00.0,2837,1.62742E+12,2837,3,406297,S,6/16/2003 0:00,00:00.0,PARCELS,DS06284,KOSTNER,AVE,2, ,2837,1147594.335,1884613.085,1909,49
42,4/1/1998 0:00, ,4/1/1998 0:00,317543,0,ACTIVE,,,0, ,0,0,317543, ,,, , , , ,0, ,0,1152513.614,1908899.338,0,306
43,4/1/1998 0:00, ,4/1/1998 0:00,302885,0,ACTIVE,,,0, ,0,0,302885, ,,, , , , ,0, ,0,1162957.723,1910970.838,0,324
45,4/1/1998 0:00,SOUND,4/1/1998 0:00,368448,2892,ACTIVE,10/1/2001 0:00,00:00.0,808,1.71832E+12,808,4,368448,S,6/16/2003 0:00,00:00.0,PARCELS,DS06284,BELL,AVE,3, ,808,1161453.137,1896256.588,0,260/275
46,4/1/1998 0:00,SOUND,4/1/1998 0:00,369866,2024,ACTIVE,10/1/2001 0:00,00:00.0,918,1.71832E+12,918,2,369866,S,6/16/2003 0:00,00:00.0,PARCELS,DS06284,BELL,AVE,2, ,922,1161453.153,1895783.284,1889,260/275
47,4/1/1998 0:00,NEEDS MINOR REPAIR,4/1/1998 0:00,343080,1960,ACTIVE,3/1/2003 0:00,00:00.0,1423,1.70811E+12,1423,3,343080,W,6/16/2003 0:00,00:00.0,PARCELS,DS06284,HURON,ST,2, ,1423,1166659.016,1904722.06,1869,292
48,4/1/1998 0:00,NEEDS MAJOR REPAIR,4/1/1998 0:00,298545,117200,ACTIVE,3/1/2003 0:00,00:00.0,1754,1.3324E+12,1754,0,298545,N,,, , ,CENTRAL,AVE,4, ,1754,1138378.606,1911393.054,1950,16
49,4/1/1998 0:00, ,4/1/1998 0:00,300398,0,ACTIVE,,,0, ,0,0,300398, ,,, , , , ,0, ,0,1139601.088,1911236.557,0,16
50,8/20/2007 0:00,SOUND,8/20/2007 0:00,860475,0,ACTIVE,8/20/2007 0:00,00:00.0,0, , ,0,860475, ,8/20/2007 0:00,00:00.0, ,DS06182, , ,0, ,0,1137418.843,1903566.639,2006,268
51,8/20/2007 0:00,SOUND,8/20/2007 0:00,860486,0,ACTIVE,8/20/2007 0:00,00:00.0,0, , ,0,860486, ,8/20/2007 0:00,00:00.0, ,DS06182, , ,0, ,0,1137769.243,1903862.239,2006,268
52,4/1/1998 0:00,SOUND,4/1/1998 0:00,368914,3446,ACTIVE,10/1/2001 0:00,00:00.0,826,1.71832E+12,826,2,368914,S,6/16/2003 0:00,00:00.0,PARCELS,DS06284,BELL,AVE,2, ,826,1161448.042,1896086.804,1990,260/275
53,4/1/1998 0:00,NEEDS MAJOR REPAIR,4/1/1998 0:00,362079,0,ACTIVE,12/1/2001 0:00,00:00.0,238,1.61621E+12,238,0,362079,S,,, , ,CICERO,AVE,2, ,246,1144327.948,1898470.421,0,57
54,4/1/1998 0:00, ,4/1/1998 0:00,399243,0,ACTIVE,,,0, ,0,0,399243, ,,, , , , ,0, ,0,1155251.828,1886032.557,0,157
55,4/1/1998 0:00, ,4/1/1998 0:00,362407,0,ACTIVE,,,248, ,248,0,362407,S,,, , ,CICERO,AVE,0, ,248,1144336.909,1898354.183,0,57
