OBJECTID,TARGET_FID,id,permit_,permit_typ,review_typ,date_appli,time_appli,date_issue,time_issue,processing,street_num,street_dir,street_nam,suffix,work_descr,building_f,zoning_fee,other_fee_,subtotal_p,building_2,zoning_f_2,other_fe_2,subtotal_u,building_3,zoning_f_3,other_fe_3,subtotal_w,total_fee,community_,census_tra,ward,xcoordinat,ycoordinat,latitude,longitude,Name
1,312,1643607,100090550,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,1/18/2006 0:00,00:00.0,5/1/2006 0:00,00:00.0,103,1621,N,HONORE,ST,INTERIOR ALTERATION TO THE 3 REAR UNITS & NEW METAL PORCH ON EXISTING 3 STORY BRICK BUILDING AS PER PLANS,5902.5,0,0,5902.5,0,0,0,0,0,0,0,0,5902.5,0,0,0,1163803.129,1910921.642,41.91120007,-87.67367471,324
2,338,1696616,100123133,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,7/10/2006 0:00,00:00.0,9/19/2006 0:00,00:00.0,71,1621,N,HONORE,ST,renovation of 3 front units and add a carport/roof deck over existing concrete parking pad.,2232,75,0,2307,0,0,0,0,0,0,0,0,2307,0,0,0,1163803.129,1910921.642,41.91120007,-87.67367471,324
3,2303,3352336,101036980,PERMIT - RENOVATION/ALTERATION,SELF CERT,11/14/2023 0:00,00:00.0,1/22/2024 0:00,00:00.0,69,2227,W,TAYLOR,ST,"SELF-CERT: INTERIOR ALTERATION TO AN EXIST. RESTAURANT - BOH AREA OF WORK (295 SQ. FT.). SELECTIVE DEMOLITION, SELECTIVE CONSTRUCTION. EXISTING HVAC TO REMAIN - PROVIDE NEW EXHAUST HOOD, ASSOCIATED DUCTWORKAND FIRE SUPPRESSION SYSTEM. SELECTIVE ELECTRICA",850,75,0,925,0,0,0,0,0,0,0,0,925,28,838200,28,1161566.379,1895497.44,41.86892168,-87.68232167,260/275
4,2449,3348416,101034300,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,10/6/2023 0:00,00:00.0,1/23/2024 0:00,00:00.0,109,225,S,KILPATRICK,AVE,DECONVERT BASEMENT TO ORIGINAL STATE AND INSTALL CARBON MONOXIDE AND SMOKE DETECTORS OF A 2 STORY 2 D.U. RESIDENTIAL BRICK BUILDING.EXISTING R-5 OCCUPANCY. NO CHANGE IN OCCUPANCY.(conditional permit subject to field inspections),300,50,0,350,550,25,0,575,0,0,0,0,925,25,252202,28,1145136.981,1898415.573,41.87725547,-87.74256472,57
5,4143,2268534,100391557,PERMIT - RENOVATION/ALTERATION,SELF CERT,5/12/2011 0:00,00:00.0,5/12/2011 0:00,00:00.0,0,1369,W,CHICAGO,AVE,"INTERIOR RENOVATION TO GROUND FLOOR OF EXISTING 2 STORY, IV-A, BUILDING W/ BASEMENT FOR NEW HAIR SALON AS PER PLANS CONDITIONAL APPROVAL SUBJECT TO AUDIT AND FIELD INSPECTIONS",300,75,0,375,0,0,0,0,0,0,0,0,375,24,2434,27,1166995.459,1905423.523,41.89604489,-87.66210525,292
6,5737,1849526,100201181,PERMIT - RENOVATION/ALTERATION,SELF CERT,11/7/2007 0:00,00:00.0,12/3/2007 0:00,00:00.0,26,800,N,KEDZIE,AVE,INTERIOR BUILDOUT OF NEW MERCANTILE SPACE IN EXISTING TENANT BUILDING,2938,75,0,3013,0,0,0,0,0,0,0,0,3013,0,0,0,1154853.936,1905175.142,41.89561531,-87.70670533,281
7,6105,1932990,100241732,PERMIT - RENOVATION/ALTERATION,TRADITIONAL DEVELOPER SERVICES,8/7/2009 0:00,00:00.0,8/10/2009 0:00,00:00.0,3,1610,N,HONORE,ST,"DECONVERT EXISTING 2 UNIT BUILDING INTO SINGLE FAMILY, ADD SECOND FLOOR, RENOVATE EXISTING, INSTALL NEW HVAC, ELECTRICAL AND PLUMBING, NEW HIGH EFFICIENT  WINDOWS.  GREEN PERMIT PROGRAM, BENEFIT TIER 2.",0,125,0,125,0,0,0,0,490.16,0,0,490.16,615.16,24,2403,32,1163725.706,1910816.615,41.9109135,-87.6739621,324
8,6303,1967728,100261775,PERMIT - NEW CONSTRUCTION,SELF CERT,10/14/2008 0:00,00:00.0,11/17/2008 0:00,00:00.0,34,1747,W,NORTH,AVE,"ERECT 4 STORY, 3 RESIDENTIAL DWELLING UNITS + 1 COMMERCIAL.  CHICAGO GREEN PERMIT CONDITIONAL PERMIT SUBJECT TO FIELD INSPECTION.",0,75,100,175,0,0,0,0,1552,0,0,1552,1727,24,2415,1,1164261.126,1910655.236,41.91045935,-87.67199973,324
9,6522,1998914,100269727,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,12/3/2008 0:00,00:00.0,12/3/2008 0:00,00:00.0,0,3042,S,KOSTNER,AVE,"DECONVERSION OF BASEMENT - BY REMOVING KITCHEN, BATHROOM, AND ALL NON-LOAD BEARING WALLS PER PLANS. SUBJECT TO FIELD INSPECTION.",750,75,0,825,0,0,0,0,0,0,0,0,825,30,3018,22,1147508.422,1883879.417,41.8373213,-87.73422978,49
10,6553,2002281,100271099,PERMIT - RENOVATION/ALTERATION,SELF CERT,12/19/2008 0:00,00:00.0,12/19/2008 0:00,00:00.0,0,1921,W,NORTH,AVE,INTERIOR ALTERATIONS TO THE BASEMENT LEVEL OF EXISTING DENTAL OFFICE AS PER PLANS.CODITIONAL PERMIT SUBJECT TO AUDIT FIELD INSPECTIONS,300,75,0,375,0,0,0,0,0,0,0,0,375,24,2415,1,1163192.513,1910625.731,41.91040093,-87.67592624,324
11,6695,2015080,100276380,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,1/30/2009 0:00,00:00.0,1/30/2009 0:00,00:00.0,0,1741,N,LUNA,AVE,CORRECT PLUMBING PER BUILDING VIOLATIONS- ALL WORK SAME AS EXISTING; SUBJECT TO FIELD INSPECTIONS,200,0,0,200,0,0,0,0,0,0,0,0,200,25,2503,37,1139164.733,1911200.292,41.91244902,-87.76418204,16
12,6853,2028205,100281171,PERMIT - RENOVATION/ALTERATION,SELF CERT,4/16/2009 0:00,00:00.0,4/23/2009 0:00,00:00.0,7,1611,N,WOLCOTT,AVE,"FIRST TIME BUILDOUT OF 1ST FLOOR TENANT SPACE - DENTAL OFFICE, INCLUDING ELEC, PLBG, AND VENTILATION AS PER PLANS. CONDITIONAL PERMIT SUBJECT TO AUDIT AND FIELD INSPECTION.",424.32,75,0,499.32,0,0,0,0,0,0,0,0,499.32,24,2403,32,1163474.347,1910809.659,41.91089971,-87.6748857,324
13,7048,2037468,100285881,PERMIT - RENOVATION/ALTERATION,SELF CERT,4/16/2009 0:00,00:00.0,5/7/2009 0:00,00:00.0,21,800,N,KEDZIE,AVE,INTERIOR ALTERATIONS TO EXISTING RETAIL BANKING FACILITY PER PLANS.  CONDITIONAL PERMIT SUBJECT TO FIELD INSPECTION.,1247.62,75,0,1322.62,0,0,0,0,0,0,0,0,1322.62,23,2310,27,1154853.936,1905175.142,41.89561531,-87.70670533,281
14,7318,2046054,100290009,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,5/5/2009 0:00,00:00.0,5/5/2009 0:00,00:00.0,0,3301,W,GRAND,AVE,EMERGENCY REPAIRS TO DECORATE LIMESTONE ALL ELEVATIONS & OPENINGS FOR STRUCTURAL EVALUATION. EXTERIOR RENOVATION DRAWING TO BE OBTAINED WITHIN 2 MONTHS OF THIS PERMIT.,125,75,0,200,0,0,0,0,0,0,0,0,200,23,2310,27,1154180.483,1906468.707,41.89917845,-87.70914421,281
15,7838,2064915,100298986,PERMIT - NEW CONSTRUCTION,SELF CERT,7/16/2009 0:00,00:00.0,7/24/2009 0:00,00:00.0,8,1712,N,WOLCOTT,AVE,ERECT NEW 2 CAR MASONRY GARAGE W/ROOF DECK. conditional permit subject to audit & field inspection.,300,75,0,375,0,0,0,0,0,0,0,0,375,24,2403,32,1163376.005,1911483.884,41.9127519,-87.67522797,324
16,8348,2083785,100308756,PERMIT - RENOVATION/ALTERATION,SELF CERT,9/21/2009 0:00,00:00.0,9/21/2009 0:00,00:00.0,0,3232,W,CHICAGO,AVE,INTERIOR REMODEL FOR MEDICAL OFFICE KNOWN AS SUITE 104 AT 800 N KEDZIE. CONDITIONAL PERMIT SUBJECT TO FIELD INSPECTION.,1241.3,75,0,1316.3,0,0,0,0,0,0,0,0,1316.3,23,2310,27,1154547.054,1905185.785,41.89565066,-87.70783216,281
17,8635,2108445,100314108,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,11/2/2009 0:00,00:00.0,11/12/2009 0:00,00:00.0,10,924,S,OAKLEY,BLVD,REPAIR EXISTING FRONT PORCH AND REPLACE REAR OPEN PORCH TO AN EXISTING SINGLE FAMILY RESIDENCE PER PLANS,250,75,0,325,0,0,0,0,0,0,0,0,325,28,2828,25,1161157.434,1895708.352,41.86950894,-87.68381715,260/275
18,9051,2123086,100321094,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,11/19/2009 0:00,00:00.0,11/19/2009 0:00,00:00.0,0,747,N,NOBLE,ST,"REPAIR WINDOWS, DOORS, GUTTERS AND SIDING.  REPAIR 200 SQ. FT. OF BRICK. ALL WORK SAME AS EXSITING.",250,75,0,325,0,0,0,0,0,0,0,0,325,24,2434,27,1166957.375,1905316.816,41.8957529,-87.66224819,292
19,9698,2153391,100334739,PERMIT - NEW CONSTRUCTION,TRADITIONAL DEVELOPER SERVICES,3/18/2010 0:00,00:00.0,6/4/2010 0:00,00:00.0,78,340,S,ARTESIAN,AVE,Rockwell Gardens  Phase II  multi-family residential dwellings  Green Permit Program Benefit Tier II  3 story 4 dwelling units    {ZONING DISRTICT PD #1145},0,225,0,225,0,0,0,0,1500,0,2504,4004,4229,28,2808,2,1159996.671,1898106.211,41.87611292,-87.68801245,128
20,9727,2154109,100335099,PERMIT - NEW CONSTRUCTION,TRADITIONAL DEVELOPER SERVICES,3/22/2010 0:00,00:00.0,5/24/2010 0:00,00:00.0,63,322,S,CAMPBELL,AVE,Rockwell Gardens  Phase II  multi-family residential dwellings  Green Permit Program Benefit Tier II  3 story 3 dwelling units   {ZONING DISTRICT PD#1145},0,225,0,225,0,0,0,0,1000,0,2820,3820,4045,28,2808,2,1159754.787,1898363.271,41.8768233,-87.68889348,128
21,9973,2163293,100339885,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,4/20/2010 0:00,00:00.0,4/20/2010 0:00,00:00.0,0,3414,W,POTOMAC,AVE,"REBUILD WEST SIDE PARAPET WALL 80 SW. FT., REBUILD WEST & NORTH SIDE CHIMNEYS, SPOT TUCKPOINT WASHED OUT MORTAR AREAS APPROX 250 SQ. FT. REPLACEMENT OF DETRIORATED BRICKS (100), REBUILD STAIR WING WALLS. DISSASEMBLY OF 2ND STORY BALCONY.",125,50,0,175,0,0,0,0,0,0,0,0,175,23,2309,26,1153271.57,1908478.289,41.90471103,-87.71242922,306
22,10016,2164531,100340510,PERMIT - NEW CONSTRUCTION,TRADITIONAL DEVELOPER SERVICES,4/29/2010 0:00,00:00.0,4/29/2010 0:00,00:00.0,0,3249,W,FLOURNOY,ST,NEW CONSTRUCTION OF (2) STORY WITH BASEMENT SINGLE FAMILY RESIDENCE.  GREEN PERMIT PROGRAM BENEFIT TIER II.  SELF-CERTIFICATION.  CONDITIONAL PERMIT SUBJECT TO AUDIT AND FIELD INSPECTION.,0,75,0,75,0,0,0,0,1000,0,0,1000,1075,27,2716,24,1154612.085,1896804.199,41.87264945,-87.70781769,244
23,10116,2168581,100342497,PERMIT - NEW CONSTRUCTION,TRADITIONAL DEVELOPER SERVICES,5/6/2010 0:00,00:00.0,5/6/2010 0:00,00:00.0,0,326,S,CAMPBELL,AVE,Rockwell Gardens  Phase II  multi-family residential dwellings  Green Permit Program Benefit Tier II  3 story 3 dwelling units   {ZONING DISTRICT PD#1145},0,225,0,225,0,0,0,0,1000,0,2820,3820,4045,28,2808,2,1159756.242,1898321.04,41.87670739,-87.6888893,128
24,10118,2168620,100342531,PERMIT - NEW CONSTRUCTION,TRADITIONAL DEVELOPER SERVICES,5/6/2010 0:00,00:00.0,5/6/2010 0:00,00:00.0,0,327,S,CAMPBELL,AVE,Rockwell Gardens  Phase II  multi-family residential dwellings  Green Permit Program Benefit Tier II  3 story 4 dwelling units{ZONING DISTRICT PD#1145},0,225,0,225,0,0,0,0,1500,0,2504,4004,4229,28,2808,2,1159836.194,1898323.794,41.8767133,-87.68859566,128
