OBJECTID,case_type,comments,date_creat,time_creat,create_uid,date_edit_,time_edit_,edit_statu,edit_uid,ordinance,date_ordin,time_ordin,pd_num,pd_prefix,zone_class,zone_type,zoning_id,UniqueID,Name,Area_m2
1,,,2002-08-09 0:00:00,00:00:00.000,,###############################################################################################################################################################################################################################################################,00:00:00.000,ACTIVE,,,###############################################################################################################################################################################################################################################################,00:00:00.000,155,R,PD 155,5,1911,111,128,8234
2,,,2002-08-12 0:00:00,00:00:00.000,,###############################################################################################################################################################################################################################################################,00:00:00.000,ACTIVE,,,###############################################################################################################################################################################################################################################################,00:00:00.000,0,,RT-4,4,2144,119,260/275,9944
3,,,2002-09-04 0:00:00,00:00:00.000,,###############################################################################################################################################################################################################################################################,00:00:00.000,ACTIVE,,,###############################################################################################################################################################################################################################################################,00:00:00.000,549,I,PD 549,5,4539,690,153,78543
4,,,2002-08-09 0:00:00,00:00:00.000,,###############################################################################################################################################################################################################################################################,00:00:00.000,ACTIVE,,,###############################################################################################################################################################################################################################################################,00:00:00.000,30,I,PD 30,5,1925,733,55,35286
5,,,2002-08-09 0:00:00,00:00:00.000,,###############################################################################################################################################################################################################################################################,00:00:00.000,ACTIVE,,,###############################################################################################################################################################################################################################################################,00:00:00.000,30,I,PD 30,5,1925,733,260/275,63281
6,,,2002-08-09 0:00:00,00:00:00.000,,###############################################################################################################################################################################################################################################################,00:00:00.000,ACTIVE,,,###############################################################################################################################################################################################################################################################,00:00:00.000,30,I,PD 30,5,1925,733,128,2051
7,,,2002-09-04 0:00:00,00:00:00.000,,###############################################################################################################################################################################################################################################################,00:00:00.000,ACTIVE,,,###############################################################################################################################################################################################################################################################,00:00:00.000,0,,B1-1,1,4535,737,55,2348
8,,"REZONED R3 to B4-1, Merged w/adj. B4-1",2002-09-02 0:00:00,00:00:00.000,,2004-02-24 0:00:00,00:00:00.000,ACTIVE,EG,14127,2003-12-17 0:00:00,00:00:00.000,0,,B3-1,1,4178,773,49,1318
9,,,2002-09-20 0:00:00,00:00:00.000,,###############################################################################################################################################################################################################################################################,00:00:00.000,ACTIVE,,,###############################################################################################################################################################################################################################################################,00:00:00.000,0,,B3-1,1,6445,831,16,184
10,,,2002-09-10 0:00:00,00:00:00.000,,###############################################################################################################################################################################################################################################################,00:00:00.000,ACTIVE,,,###############################################################################################################################################################################################################################################################,00:00:00.000,0,,RT-4,4,5228,1421,292,1521
11,,,2002-09-10 0:00:00,00:00:00.000,,###############################################################################################################################################################################################################################################################,00:00:00.000,ACTIVE,,,###############################################################################################################################################################################################################################################################,00:00:00.000,0,,C1-2,2,5083,1810,281,2208
12,,,2002-09-03 0:00:00,00:00:00.000,,###############################################################################################################################################################################################################################################################,00:00:00.000,ACTIVE,,,###############################################################################################################################################################################################################################################################,00:00:00.000,0,,C1-3,2,4207,2018,55,2216
13,,,2002-09-18 0:00:00,00:00:00.000,,###############################################################################################################################################################################################################################################################,00:00:00.000,ACTIVE,,,###############################################################################################################################################################################################################################################################,00:00:00.000,407,B,PD 407,5,6232,2099,281,11195
14,,,2002-09-11 0:00:00,00:00:00.000,,###############################################################################################################################################################################################################################################################,00:00:00.000,ACTIVE,,,###############################################################################################################################################################################################################################################################,00:00:00.000,0,,RM-5,4,5313,2343,324,5
15,,,2002-09-08 0:00:00,00:00:00.000,,###############################################################################################################################################################################################################################################################,00:00:00.000,ACTIVE,,,###############################################################################################################################################################################################################################################################,00:00:00.000,0,,C1-3,2,4940,2347,324,1386
16,,"REZONED R3 TO B2-1, MERGED WITH B2-1, SEE PREVIOUSLY A5325",2002-09-18 0:00:00,00:00:00.000,,2004-06-23 0:00:00,00:00:00.000,ACTIVE,pd00307,A5372,2004-05-05 0:00:00,00:00:00.000,0,,B1-1,1,6115,2484,306,1250
17,,REZONED from M2-3 to IPD 864,2002-08-28 0:00:00,00:00:00.000,,2003-06-13 0:00:00,00:00:00.000,ACTIVE,BH,A5062,###############################################################################################################################################################################################################################################################,00:00:00.000,864,I,PD 864,5,3775,2777,49,6504
18,,,2002-09-24 0:00:00,00:00:00.000,,###############################################################################################################################################################################################################################################################,00:00:00.000,ACTIVE,,,###############################################################################################################################################################################################################################################################,00:00:00.000,0,,B3-2,1,6908,3177,324,1239
19,,,2002-08-28 0:00:00,00:00:00.000,,###############################################################################################################################################################################################################################################################,00:00:00.000,ACTIVE,,,###############################################################################################################################################################################################################################################################,00:00:00.000,0,,C2-1,2,3792,3333,49,1628
20,,,2002-09-05 0:00:00,00:00:00.000,,###############################################################################################################################################################################################################################################################,00:00:00.000,ACTIVE,,,###############################################################################################################################################################################################################################################################,00:00:00.000,0,,RT-4,4,4809,3343,157,1181
