,Segment,PermitIssueDate,PermitType
1,324,5/1/2006 0:00,Reno_Alt_add
2,324,9/19/2006 0:00,Reno_Alt_add
3,260/275,1/22/2024 0:00,Reno_Alt_add
4,57,1/23/2024 0:00,Reno_Alt_add
5,292,5/12/2011 0:00,Reno_Alt_add
6,281,12/3/2007 0:00,Reno_Alt_add
7,324,8/10/2009 0:00,Reno_Alt_add
8,324,11/17/2008 0:00,NewConst
9,49,12/3/2008 0:00,Reno_Alt_add
10,324,12/19/2008 0:00,Reno_Alt_add
11,16,1/30/2009 0:00,Reno_Alt_add
12,324,4/23/2009 0:00,Reno_Alt_add
13,281,5/7/2009 0:00,Reno_Alt_add
14,281,5/5/2009 0:00,Reno_Alt_add
15,324,7/24/2009 0:00,Reno_Alt_add
16,281,9/21/2009 0:00,Reno_Alt_add
17,260/275,11/12/2009 0:00,Reno_Alt_add
18,292,11/19/2009 0:00,Reno_Alt_add
19,128,6/4/2010 0:00,NewConst
20,128,5/24/2010 0:00,NewConst
21,306,4/20/2010 0:00,Reno_Alt_add
22,244,4/29/2010 0:00,NewConst
23,128,5/6/2010 0:00,NewConst
24,128,5/6/2010 0:00,NewConst
25,260/275,7/16/2010 0:00,Reno_Alt_add
26,260/275,7/19/2010 0:00,Reno_Alt_add
27,260/275,10/20/2010 0:00,Reno_Alt_add
28,157,9/20/2010 0:00,Reno_Alt_add
29,268,12/22/2010 0:00,Reno_Alt_add
30,292,2/17/2011 0:00,Reno_Alt_add
31,157,8/25/2011 0:00,Reno_Alt_add
32,268,5/5/2011 0:00,Reno_Alt_add
33,324,4/29/2011 0:00,Reno_Alt_add
34,55,6/10/2011 0:00,Reno_Alt_add
35,268,6/17/2011 0:00,Reno_Alt_add
36,306,7/22/2011 0:00,Reno_Alt_add
37,292,11/3/2011 0:00,Reno_Alt_add
38,16,6/21/2012 0:00,Reno_Alt_add
39,292,3/12/2012 0:00,Reno_Alt_add
40,157,4/9/2012 0:00,Reno_Alt_add
41,292,7/5/2012 0:00,Reno_Alt_add
42,324,5/29/2012 0:00,Reno_Alt_add
43,292,9/12/2012 0:00,Reno_Alt_add
44,157,6/25/2013 0:00,Reno_Alt_add
45,260/275,10/29/2012 0:00,Reno_Alt_add
46,55,7/15/2013 0:00,Reno_Alt_add
47,292,2/21/2013 0:00,Reno_Alt_add
48,324,4/18/2013 0:00,Reno_Alt_add
49,268,5/14/2013 0:00,Reno_Alt_add
50,244,7/12/2013 0:00,Reno_Alt_add
51,55,6/6/2016 0:00,Reno_Alt_add
52,260/275,6/28/2013 0:00,Reno_Alt_add
53,324,8/7/2013 0:00,Reno_Alt_add
54,292,9/20/2013 0:00,Reno_Alt_add
55,292,12/3/2013 0:00,Reno_Alt_add
56,292,12/12/2013 0:00,Reno_Alt_add
57,292,12/6/2013 0:00,Reno_Alt_add
58,324,12/20/2013 0:00,Reno_Alt_add
59,292,4/17/2014 0:00,Reno_Alt_add
60,260/275,2/21/2014 0:00,Reno_Alt_add
61,128,4/14/2014 0:00,Reno_Alt_add
62,16,4/10/2014 0:00,Reno_Alt_add
63,16,3/25/2014 0:00,Reno_Alt_add
64,292,7/16/2014 0:00,Reno_Alt_add
65,157,6/4/2014 0:00,Reno_Alt_add
66,324,6/26/2014 0:00,Reno_Alt_add
67,16,6/27/2014 0:00,Reno_Alt_add
68,128,8/11/2014 0:00,Reno_Alt_add
69,324,2/9/2015 0:00,NewConst
70,157,7/15/2014 0:00,Reno_Alt_add
71,157,7/23/2014 0:00,Reno_Alt_add
72,324,2/3/2015 0:00,Reno_Alt_add
73,281,1/25/2024 0:00,Reno_Alt_add
74,260/275,10/14/2014 0:00,Reno_Alt_add
75,244,12/5/2014 0:00,Reno_Alt_add
76,157,3/18/2015 0:00,Reno_Alt_add
77,281,2/26/2015 0:00,Reno_Alt_add
78,281,2/26/2015 0:00,Reno_Alt_add
79,292,8/3/2015 0:00,NewConst
80,292,7/8/2015 0:00,Reno_Alt_add
81,268,6/12/2015 0:00,Reno_Alt_add
82,324,8/15/2015 0:00,Reno_Alt_add
83,324,7/27/2015 0:00,Reno_Alt_add
84,260/275,7/27/2015 0:00,Reno_Alt_add
85,324,9/14/2015 0:00,Reno_Alt_add
86,260/275,4/14/2016 0:00,Reno_Alt_add
87,324,12/3/2015 0:00,Reno_Alt_add
88,324,1/13/2016 0:00,Reno_Alt_add
89,292,3/21/2016 0:00,Reno_Alt_add
90,324,1/6/2016 0:00,Reno_Alt_add
91,16,12/18/2015 0:00,Reno_Alt_add
92,157,1/23/2018 0:00,Reno_Alt_add
93,324,4/12/2016 0:00,Reno_Alt_add
94,260/275,4/1/2016 0:00,Reno_Alt_add
95,260/275,8/21/2007 0:00,Reno_Alt_add
96,292,7/27/2016 0:00,Reno_Alt_add
97,324,8/15/2016 0:00,Reno_Alt_add
98,260/275,6/3/2016 0:00,Reno_Alt_add
99,55,5/24/2016 0:00,Reno_Alt_add
