GEO_ID,NAME,Estimate!!Total,Margin of Error!!Total,Estimate!!Total!!Not Hispanic or Latino,Margin of Error!!Total!!Not Hispanic or Latino,Estimate!!Total!!Not Hispanic or Latino!!White alone,Margin of Error!!Total!!Not Hispanic or Latino!!White alone,Estimate!!Total!!Not Hispanic or Latino!!Black or African American alone,Margin of Error!!Total!!Not Hispanic or Latino!!Black or African American alone,Estimate!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone,Margin of Error!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone,Estimate!!Total!!Not Hispanic or Latino!!Asian alone,Margin of Error!!Total!!Not Hispanic or Latino!!Asian alone,Estimate!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone,Margin of Error!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Total!!Not Hispanic or Latino!!Some other race alone,Margin of Error!!Total!!Not Hispanic or Latino!!Some other race alone,Estimate!!Total!!Not Hispanic or Latino!!Two or more races,Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races,Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race,Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race,"Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races",Estimate!!Total!!Hispanic or Latino,Margin of Error!!Total!!Hispanic or Latino,Estimate!!Total!!Hispanic or Latino!!White alone,Margin of Error!!Total!!Hispanic or Latino!!White alone,Estimate!!Total!!Hispanic or Latino!!Black or African American alone,Margin of Error!!Total!!Hispanic or Latino!!Black or African American alone,Estimate!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone,Margin of Error!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone,Estimate!!Total!!Hispanic or Latino!!Asian alone,Margin of Error!!Total!!Hispanic or Latino!!Asian alone,Estimate!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone,Margin of Error!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Total!!Hispanic or Latino!!Some other race alone,Margin of Error!!Total!!Hispanic or Latino!!Some other race alone,Estimate!!Total!!Hispanic or Latino!!Two or more races,Margin of Error!!Total!!Hispanic or Latino!!Two or more races,Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race,Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race,"Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races"
1400000US17031010100,"Census Tract 101, Cook County, Illinois",5203,688,4617,609,1404,281,2538,561,0,89,364,236,0,89,2,4,309,202,15,25,294,199,586,344,431,347,75,85,0,89,0,89,0,89,80,63,0,89,0,89,0,89
1400000US17031010201,"Census Tract 102.01, Cook County, Illinois",6770,750,5061,665,1618,265,2774,717,0,89,593,312,0,89,0,89,76,107,0,89,76,107,1709,458,882,489,62,72,0,89,28,47,0,89,653,416,84,75,50,54,34,52
1400000US17031010202,"Census Tract 102.02, Cook County, Illinois",2708,562,2124,392,964,263,885,294,0,89,50,45,0,89,87,133,138,129,11,17,127,128,584,369,397,349,17,26,0,89,0,89,9,17,97,110,64,67,64,67,0,89
1400000US17031010300,"Census Tract 103, Cook County, Illinois",6282,837,5197,723,3029,430,1512,573,11,24,486,187,0,89,4,8,155,115,3,7,152,116,1085,480,454,315,93,85,0,89,0,89,0,89,512,368,26,31,24,28,2,9
1400000US17031010400,"Census Tract 104, Cook County, Illinois",4737,686,4096,634,2881,476,622,183,0,89,465,246,0,89,0,89,128,90,0,89,128,90,641,214,572,213,0,89,0,89,6,13,0,89,63,36,0,89,0,89,0,89
1400000US17031010501,"Census Tract 105.01, Cook County, Illinois",4010,374,3722,390,1841,245,1596,310,0,89,214,144,0,89,0,89,71,63,0,89,71,63,288,139,225,126,0,89,0,89,0,89,0,89,46,68,17,29,17,29,0,89
1400000US17031010502,"Census Tract 105.02, Cook County, Illinois",3834,624,3303,650,1866,437,558,193,0,89,669,597,0,89,0,89,210,167,0,89,210,167,531,285,229,140,72,63,46,72,0,89,0,89,144,205,40,50,14,23,26,42
1400000US17031010503,"Census Tract 105.03, Cook County, Illinois",2059,314,1833,332,1383,286,177,106,0,89,214,128,0,89,0,89,59,79,47,76,12,20,226,199,196,198,19,30,0,89,0,89,0,89,11,16,0,89,0,89,0,89
1400000US17031010600,"Census Tract 106, Cook County, Illinois",6631,724,4687,633,2533,432,1660,686,0,89,261,160,0,89,9,13,224,133,0,89,224,133,1944,738,554,339,159,228,7,13,0,89,0,89,1224,733,0,89,0,89,0,89
1400000US17031010701,"Census Tract 107.01, Cook County, Illinois",3913,398,2488,333,1587,240,622,150,0,89,57,98,0,89,28,38,194,112,0,89,194,112,1425,362,721,333,42,50,0,89,0,89,0,89,625,343,37,50,0,89,37,50
1400000US17031010702,"Census Tract 107.02, Cook County, Illinois",5189,796,2416,350,1270,276,1014,287,0,89,81,71,0,89,0,89,51,55,0,89,51,55,2773,819,1244,489,0,89,0,89,0,89,0,89,1482,789,47,63,0,89,47,63
