GEO_ID,NAME,Estimate!!Total:,Margin of Error!!Total:,Estimate!!Total:!!Not Hispanic or Latino:,Margin of Error!!Total:!!Not Hispanic or Latino:,Estimate!!Total:!!Not Hispanic or Latino:!!White alone,Margin of Error!!Total:!!Not Hispanic or Latino:!!White alone,Estimate!!Total:!!Not Hispanic or Latino:!!Black or African American alone,Margin of Error!!Total:!!Not Hispanic or Latino:!!Black or African American alone,Estimate!!Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone,Margin of Error!!Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone,Estimate!!Total:!!Not Hispanic or Latino:!!Asian alone,Margin of Error!!Total:!!Not Hispanic or Latino:!!Asian alone,Estimate!!Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone,Margin of Error!!Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Total:!!Not Hispanic or Latino:!!Some other race alone,Margin of Error!!Total:!!Not Hispanic or Latino:!!Some other race alone,Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:,Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:,Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race,Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race,"Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races",Estimate!!Total:!!Hispanic or Latino:,Margin of Error!!Total:!!Hispanic or Latino:,Estimate!!Total:!!Hispanic or Latino:!!White alone,Margin of Error!!Total:!!Hispanic or Latino:!!White alone,Estimate!!Total:!!Hispanic or Latino:!!Black or African American alone,Margin of Error!!Total:!!Hispanic or Latino:!!Black or African American alone,Estimate!!Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone,Margin of Error!!Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone,Estimate!!Total:!!Hispanic or Latino:!!Asian alone,Margin of Error!!Total:!!Hispanic or Latino:!!Asian alone,Estimate!!Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone,Margin of Error!!Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Total:!!Hispanic or Latino:!!Some other race alone,Margin of Error!!Total:!!Hispanic or Latino:!!Some other race alone,Estimate!!Total:!!Hispanic or Latino:!!Two or more races:,Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:,Estimate!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race,Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race,"Estimate!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races"
1400000US17031010100,"Census Tract 101, Cook County, Illinois",4534,691,3768,652,1832,467,1725,466,0,12,81,81,0,12,0,12,130,95,45,58,85,78,766,347,173,108,26,48,0,12,0,12,0,12,221,211,346,296,306,296,40,34
1400000US17031010201,"Census Tract 102.01, Cook County, Illinois",8232,1160,6185,1037,2074,739,3100,1044,0,17,346,271,0,17,98,120,567,597,0,17,567,597,2047,691,589,328,169,196,34,59,19,31,0,17,699,414,537,394,522,391,15,26
1400000US17031010202,"Census Tract 102.02, Cook County, Illinois",3124,489,2289,531,902,233,1032,458,0,12,174,173,0,12,149,121,32,24,12,19,20,23,835,247,304,187,0,12,37,52,0,12,0,12,409,300,85,101,85,101,0,12
1400000US17031010300,"Census Tract 103, Cook County, Illinois",6085,971,5027,648,2836,433,1745,661,33,52,215,145,7,17,0,17,191,114,11,17,180,113,1058,794,221,121,14,24,26,40,0,17,0,17,716,806,81,96,37,76,44,68
1400000US17031010400,"Census Tract 104, Cook County, Illinois",4587,675,4221,678,3342,553,491,268,0,12,240,164,0,12,16,26,132,102,0,12,132,102,366,136,277,114,7,15,0,12,0,12,0,12,56,73,26,32,26,32,0,12
1400000US17031010501,"Census Tract 105.01, Cook County, Illinois",4057,718,3684,675,2438,617,949,358,0,12,248,157,0,12,0,12,49,50,0,12,49,50,373,203,49,78,35,42,0,12,26,41,0,12,186,168,77,73,77,73,0,12
1400000US17031010502,"Census Tract 105.02, Cook County, Illinois",2816,341,2462,240,1652,248,483,178,0,12,168,73,0,12,9,14,150,95,20,25,130,97,354,219,38,30,25,71,3,5,0,12,0,12,206,224,82,59,82,59,0,12
1400000US17031010503,"Census Tract 105.03, Cook County, Illinois",2182,403,2143,401,1644,382,258,105,0,12,109,55,0,12,0,12,132,90,18,26,114,88,39,36,38,36,0,12,0,12,0,12,0,12,0,12,1,4,1,4,0,12
1400000US17031010600,"Census Tract 106, Cook County, Illinois",6553,1064,5543,1071,3490,759,1422,644,0,17,265,175,0,17,0,17,366,249,23,35,343,245,1010,559,253,113,0,17,0,17,0,17,0,17,698,578,59,55,59,55,0,17
1400000US17031010701,"Census Tract 107.01, Cook County, Illinois",3646,525,2352,284,1340,213,704,171,0,12,200,139,0,12,1,13,107,88,0,12,107,88,1294,551,395,253,0,12,71,83,0,12,0,12,689,493,139,124,69,65,70,90
1400000US17031010702,"Census Tract 107.02, Cook County, Illinois",5014,1071,3612,960,1215,204,2041,975,0,17,212,140,0,17,33,50,111,99,0,17,111,99,1402,726,439,295,0,17,50,83,3,6,0,17,468,422,442,555,442,555,0,17
1400000US17031020100,"Census Tract 201, Cook County, Illinois",3972,582,2720,560,918,198,1335,403,0,12,194,106,0,12,0,12,273,248,11,21,262,247,1252,383,456,209,24,37,0,12,0,12,0,12,748,377,24,38,24,38,0,12
1400000US17031020200,"Census Tract 202, Cook County, Illinois",7159,979,5299,530,3015,516,636,202,0,17,1175,438,0,17,0,17,473,329,319,279,154,164,1860,1011,437,370,0,17,0,17,0,17,0,17,585,467,838,723,838,723,0,17
1400000US17031020301,"Census Tract 203.01, Cook County, Illinois",5303,671,4978,658,4073,677,150,105,18,22,486,175,0,17,74,89,177,155,9,14,168,154,325,257,206,246,13,21,0,17,0,17,0,17,80,73,26,25,15,18,11,16
1400000US17031020302,"Census Tract 203.02, Cook County, Illinois",5348,1045,4663,1020,3560,1040,352,149,0,17,605,159,0,17,0,17,146,91,0,17,146,91,685,176,204,129,122,153,41,95,0,17,0,17,263,307,55,80,10,13,45,79
1400000US17031020400,"Census Tract 204, Cook County, Illinois",4115,598,2829,359,1434,225,839,342,0,12,414,156,0,12,0,12,142,65,0,12,142,65,1286,488,502,319,55,84,15,22,93,144,0,12,303,180,318,432,318,432,0,12
1400000US17031020500,"Census Tract 205, Cook County, Illinois",6560,1258,4981,930,1183,326,949,412,12,21,2519,856,0,17,22,35,296,208,87,101,209,184,1579,987,966,940,0,17,0,17,0,17,0,17,613,419,0,17,0,17,0,17
1400000US17031020601,"Census Tract 206.01, Cook County, Illinois",5937,870,5687,840,3675,735,238,240,0,17,1330,722,2,5,78,83,364,402,10,18,354,403,250,193,175,184,0,17,0,17,0,17,0,17,34,54,41,51,21,31,20,29
1400000US17031020602,"Census Tract 206.02, Cook County, Illinois",5823,1379,4358,1360,2430,1120,494,299,0,17,1279,726,0,17,36,38,119,85,0,17,119,85,1465,520,304,361,0,17,0,17,0,17,0,17,1092,467,69,108,69,108,0,17
1400000US17031020701,"Census Tract 207.01, Cook County, Illinois",1728,208,1485,217,1161,233,140,84,8,12,139,73,0,12,0,12,37,30,0,12,37,30,243,117,92,81,14,22,0,12,0,12,0,12,68,72,69,44,38,30,31,38
1400000US17031020702,"Census Tract 207.02, Cook County, Illinois",8659,2085,6248,1993,3729,1713,202,123,0,17,2194,894,0,17,29,46,94,100,59,79,35,56,2411,832,1433,919,0,17,237,300,0,17,0,17,345,257,396,359,396,359,0,17
1400000US17031020801,"Census Tract 208.01, Cook County, Illinois",6025,1092,4392,1017,2366,457,916,950,0,17,907,324,0,17,0,17,203,253,0,17,203,253,1633,546,938,362,0,17,0,17,0,17,14,23,214,219,467,468,456,466,11,17
1400000US17031020802,"Census Tract 208.02, Cook County, Illinois",8514,1582,6063,1373,2003,863,463,307,153,222,2700,809,0,17,0,17,744,697,131,152,613,667,2451,845,1007,714,0,17,173,275,0,17,0,17,1271,558,0,17,0,17,0,17
1400000US17031020901,"Census Tract 209.01, Cook County, Illinois",6237,838,4698,805,1342,463,1592,515,0,17,1469,490,0,17,29,46,266,236,26,41,240,232,1539,555,850,438,67,106,0,17,0,17,0,17,159,149,463,356,455,355,8,12
1400000US17031020902,"Census Tract 209.02, Cook County, Illinois",4517,597,3766,574,1507,392,822,371,0,12,1363,300,0,12,0,12,74,72,0,12,74,72,751,305,429,258,27,41,0,12,22,36,0,12,129,107,144,124,144,124,0,12
1400000US17031030101,"Census Tract 301.01, Cook County, Illinois",3699,507,3098,475,1330,300,866,381,0,12,745,226,0,12,0,12,157,128,0,12,157,128,601,276,317,247,0,12,11,18,0,12,0,12,169,181,104,70,82,63,22,38
1400000US17031030102,"Census Tract 301.02, Cook County, Illinois",3147,666,2682,634,1205,196,428,186,0,12,931,607,0,12,68,70,50,56,0,12,50,56,465,170,209,100,9,15,0,12,10,16,0,12,66,54,171,113,116,96,55,58
1400000US17031030103,"Census Tract 301.03, Cook County, Illinois",2459,329,2158,317,1233,247,515,133,10,21,299,127,0,12,0,12,101,70,0,12,101,70,301,136,111,59,7,16,5,10,0,12,0,12,78,61,100,101,100,101,0,12
1400000US17031030104,"Census Tract 301.04, Cook County, Illinois",3245,418,2800,424,1928,340,227,110,9,18,585,293,0,12,24,37,27,33,0,12,27,33,445,152,225,94,0,12,0,12,3,6,0,12,132,106,85,62,76,60,9,18
1400000US17031030200,"Census Tract 302, Cook County, Illinois",5995,1139,4561,460,3893,504,175,129,0,17,193,125,43,64,15,24,242,159,0,17,242,159,1434,1078,232,134,0,17,0,17,0,17,0,17,157,145,1045,1039,983,1033,62,93
1400000US17031030300,"Census Tract 303, Cook County, Illinois",3828,639,2744,474,1360,283,562,377,16,25,584,283,0,12,68,73,154,92,48,73,106,58,1084,489,518,355,0,12,13,18,10,16,0,12,289,166,254,344,231,343,23,41
1400000US17031030400,"Census Tract 304, Cook County, Illinois",2764,363,2126,298,1675,236,141,92,7,10,207,151,0,12,10,15,86,50,26,37,60,39,638,322,288,185,11,16,0,12,0,12,0,12,120,133,219,245,193,243,26,41
