GEO_ID,geoid10,NAME,Estimate!!Median household income in the past 12 months (in 2011 inflation-adjusted dollars),Margin of Error!!Median household income in the past 12 months (in 2011 inflation-adjusted dollars)
1400000U,17031010100,Census Tract 101,31919,7858
1400000U,17031010201,Census Tract 102.01,41528,4703
1400000U,17031010202,Census Tract 102.02,44107,17417
1400000U,17031010300,Census Tract 103,45964,8371
1400000U,17031010400,Census Tract 104,48138,11549
1400000U,17031010501,Census Tract 105.01,35411,4904
1400000U,17031010502,Census Tract 105.02,31379,9025
1400000U,17031010503,Census Tract 105.03,18952,4211
1400000U,17031010600,Census Tract 106,45474,8341
1400000U,17031010701,Census Tract 107.01,59625,11694
1400000U,17031010702,Census Tract 107.02,45861,13827
1400000U,17031020100,Census Tract 201,54444,17020
1400000U,17031020200,Census Tract 202,85154,15359
1400000U,17031020301,Census Tract 203.01,51912,11654
1400000U,17031020302,Census Tract 203.02,55000,9499
1400000U,17031020400,Census Tract 204,44519,8600
1400000U,17031020500,Census Tract 205,35068,6277
1400000U,17031020601,Census Tract 206.01,43599,10050
1400000U,17031020602,Census Tract 206.02,46220,11197
1400000U,17031020701,Census Tract 207.01,75466,22412
1400000U,17031020702,Census Tract 207.02,38529,7929
1400000U,17031020801,Census Tract 208.01,53328,14873
1400000U,17031020802,Census Tract 208.02,48682,12361
1400000U,17031020901,Census Tract 209.01,42652,7312
1400000U,17031020902,Census Tract 209.02,39575,14804
1400000U,17031030101,Census Tract 301.01,36667,9257
1400000U,17031030102,Census Tract 301.02,32353,7241
1400000U,17031030103,Census Tract 301.03,22941,5708
1400000U,17031030104,Census Tract 301.04,33185,5209
1400000U,17031030200,Census Tract 302,62788,15066
1400000U,17031030300,Census Tract 303,33293,7519
1400000U,17031030400,Census Tract 304,41667,11198
1400000U,17031030500,Census Tract 305,62045,9975
1400000U,17031030601,Census Tract 306.01,31510,10636
1400000U,17031030603,Census Tract 306.03,25953,6565
1400000U,17031030604,Census Tract 306.04,43344,7164
1400000U,17031030701,Census Tract 307.01,30772,21423
1400000U,17031030702,Census Tract 307.02,59479,16676
1400000U,17031030703,Census Tract 307.03,36506,19113
1400000U,17031030706,Census Tract 307.06,42041,5260
1400000U,17031030800,Census Tract 308,70652,11894
1400000U,17031030900,Census Tract 309,70469,15250
1400000U,17031031000,Census Tract 310,57206,6744
1400000U,17031031100,Census Tract 311,58972,12562
1400000U,17031031200,Census Tract 312,17861,2666
1400000U,17031031300,Census Tract 313,34286,4723
1400000U,17031031400,Census Tract 314,65804,13725
1400000U,17031031501,Census Tract 315.01,24167,10263
1400000U,17031031502,Census Tract 315.02,25246,10944
1400000U,17031031700,Census Tract 317,41150,9482
1400000U,17031031800,Census Tract 318,52188,27035
1400000U,17031031900,Census Tract 319,62564,10566
1400000U,17031032100,Census Tract 321,47175,7048
1400000U,17031040100,Census Tract 401,67414,12866
1400000U,17031040201,Census Tract 402.01,57043,8899
1400000U,17031040202,Census Tract 402.02,50156,5052
1400000U,17031040300,Census Tract 403,57829,21725
1400000U,17031040401,Census Tract 404.01,66845,12401
1400000U,17031040402,Census Tract 404.02,60100,7173
1400000U,17031040600,Census Tract 406,65962,17995
1400000U,17031040700,Census Tract 407,62049,8886
1400000U,17031040800,Census Tract 408,67212,10263
1400000U,17031040900,Census Tract 409,53125,18959
1400000U,17031050100,Census Tract 501,73056,14519
1400000U,17031050200,Census Tract 502,64746,7495
1400000U,17031050300,Census Tract 503,76974,15586
1400000U,17031050500,Census Tract 505,91458,6331
1400000U,17031050600,Census Tract 506,90972,30200
1400000U,17031050700,Census Tract 507,84906,18610
1400000U,17031050800,Census Tract 508,115658,16127
1400000U,17031050900,Census Tract 509,103611,26762
1400000U,17031051000,Census Tract 510,94268,14207
