GEO_ID,geoid10,NAME,Population Groups,Estimate!!Median household income in the past 12 months (in 2021 inflation-adjusted dollars),Margin of Error!!Median household income in the past 12 months (in 2021 inflation-adjusted dollars)
1400000U,17031010100,Census Tract 101,Total population,60316,24932
1400000U,17031010201,Census Tract 102.01,Total population,43750,21149
1400000U,17031010202,Census Tract 102.02,Total population,45096,5367
1400000U,17031010300,Census Tract 103,Total population,60846,13337
1400000U,17031010400,Census Tract 104,Total population,43024,8584
1400000U,17031010501,Census Tract 105.01,Total population,47364,11724
1400000U,17031010502,Census Tract 105.02,Total population,48831,11097
1400000U,17031010503,Census Tract 105.03,Total population,16399,3862
1400000U,17031010600,Census Tract 106,Total population,58993,9156
1400000U,17031010701,Census Tract 107.01,Total population,64007,13710
1400000U,17031010702,Census Tract 107.02,Total population,48799,3982
1400000U,17031020100,Census Tract 201,Total population,50041,9861
1400000U,17031020200,Census Tract 202,Total population,99987,19015
1400000U,17031020301,Census Tract 203.01,Total population,62917,11762
1400000U,17031020302,Census Tract 203.02,Total population,78987,9571
1400000U,17031020400,Census Tract 204,Total population,63092,11012
1400000U,17031020500,Census Tract 205,Total population,38271,9091
1400000U,17031020601,Census Tract 206.01,Total population,57250,17337
1400000U,17031020602,Census Tract 206.02,Total population,78293,25766
1400000U,17031020701,Census Tract 207.01,Total population,83571,36776
1400000U,17031020702,Census Tract 207.02,Total population,55451,10213
1400000U,17031020801,Census Tract 208.01,Total population,57127,19758
1400000U,17031020802,Census Tract 208.02,Total population,57224,17459
1400000U,17031020901,Census Tract 209.01,Total population,47316,10450
1400000U,17031020902,Census Tract 209.02,Total population,42816,6133
1400000U,17031030101,Census Tract 301.01,Total population,40776,12442
1400000U,17031030102,Census Tract 301.02,Total population,47366,11561
1400000U,17031030103,Census Tract 301.03,Total population,54519,7898
1400000U,17031030104,Census Tract 301.04,Total population,36318,10398
1400000U,17031030200,Census Tract 302,Total population,92260,14621
1400000U,17031030300,Census Tract 303,Total population,52382,17469
1400000U,17031030400,Census Tract 304,Total population,92650,17491
1400000U,17031030500,Census Tract 305,Total population,101063,10785
1400000U,17031030601,Census Tract 306.01,Total population,46250,9253
1400000U,17031030603,Census Tract 306.03,Total population,45263,6894
1400000U,17031030604,Census Tract 306.04,Total population,55093,10113
1400000U,17031030701,Census Tract 307.01,Total population,40357,12180
1400000U,17031030702,Census Tract 307.02,Total population,66016,17068
1400000U,17031030703,Census Tract 307.03,Total population,51750,20328
1400000U,17031030706,Census Tract 307.06,Total population,58639,18508
1400000U,17031030800,Census Tract 308,Total population,87065,12727
1400000U,17031030900,Census Tract 309,Total population,93093,18531
1400000U,17031031000,Census Tract 310,Total population,98929,23885
1400000U,17031031100,Census Tract 311,Total population,77672,10802
1400000U,17031031200,Census Tract 312,Total population,29214,12175
1400000U,17031031300,Census Tract 313,Total population,58828,5454
1400000U,17031031400,Census Tract 314,Total population,80580,8870
1400000U,17031031501,Census Tract 315.01,Total population,43416,12406
1400000U,17031031502,Census Tract 315.02,Total population,40074,5884
1400000U,17031031700,Census Tract 317,Total population,74615,15371
1400000U,17031031800,Census Tract 318,Total population,76921,11290
1400000U,17031031900,Census Tract 319,Total population,87694,21193
1400000U,17031032100,Census Tract 321,Total population,68444,17283
1400000U,17031040100,Census Tract 401,Total population,90000,20755
1400000U,17031040201,Census Tract 402.01,Total population,91436,12135
1400000U,17031040202,Census Tract 402.02,Total population,48262,6755
1400000U,17031040300,Census Tract 403,Total population,94973,22595
1400000U,17031040401,Census Tract 404.01,Total population,111389,21952
1400000U,17031040402,Census Tract 404.02,Total population,91016,15909
1400000U,17031040600,Census Tract 406,Total population,83042,12132
1400000U,17031040700,Census Tract 407,Total population,103690,13480
1400000U,17031040800,Census Tract 408,Total population,94943,24323
1400000U,17031040900,Census Tract 409,Total population,76538,31701
1400000U,17031050100,Census Tract 501,Total population,119622,16884
1400000U,17031050200,Census Tract 502,Total population,134773,38298
1400000U,17031050300,Census Tract 503,Total population,149034,25865
1400000U,17031050500,Census Tract 505,Total population,132500,23445
1400000U,17031050600,Census Tract 506,Total population,105469,31366
1400000U,17031050700,Census Tract 507,Total population,115787,17258
1400000U,17031050800,Census Tract 508,Total population,150250,48646
1400000U,17031050900,Census Tract 509,Total population,121071,16338
1400000U,17031051000,Census Tract 510,Total population,156898,20504
1400000U,17031051100,Census Tract 511,Total population,161750,49836
1400000U,17031051200,Census Tract 512,Total population,154114,9019
1400000U,17031051300,Census Tract 513,Total population,199977,20636
1400000U,17031051400,Census Tract 514,Total population,138250,28702
1400000U,17031060100,Census Tract 601,Total population,105875,20156
1400000U,17031060200,Census Tract 602,Total population,83854,27125
1400000U,17031060300,Census Tract 603,Total population,123750,39168
1400000U,17031060400,Census Tract 604,Total population,146111,22056
1400000U,17031060500,Census Tract 605,Total population,52652,43690
1400000U,17031060800,Census Tract 608,Total population,77436,8846
1400000U,17031060900,Census Tract 609,Total population,80670,18220
1400000U,17031061000,Census Tract 610,Total population,111728,16795
1400000U,17031061100,Census Tract 611,Total population,92750,24118
1400000U,17031061200,Census Tract 612,Total population,120865,27995
1400000U,17031061500,Census Tract 615,Total population,126750,8822
1400000U,17031061800,Census Tract 618,Total population,65238,13410
1400000U,17031061901,Census Tract 619.01,Total population,54192,17204
1400000U,17031061902,Census Tract 619.02,Total population,79254,13886
1400000U,17031062000,Census Tract 620,Total population,98828,16586
1400000U,17031062100,Census Tract 621,Total population,96510,28459
1400000U,17031062200,Census Tract 622,Total population,165083,30386
1400000U,17031062300,Census Tract 623,Total population,181250,28121
1400000U,17031062400,Census Tract 624,Total population,141328,45328
1400000U,17031062500,Census Tract 625,Total population,157143,32787
1400000U,17031062600,Census Tract 626,Total population,187857,45254
1400000U,17031062700,Census Tract 627,Total population,139477,53397
1400000U,17031062800,Census Tract 628,Total population,154911,52277
1400000U,17031062900,Census Tract 629,Total population,146341,24249
1400000U,17031063000,Census Tract 630,Total population,99792,12776
1400000U,17031063100,Census Tract 631,Total population,96188,15660
1400000U,17031063200,Census Tract 632,Total population,68710,15292
1400000U,17031063301,Census Tract 633.01,Total population,63889,8434
1400000U,17031063302,Census Tract 633.02,Total population,84319,8850
1400000U,17031063303,Census Tract 633.03,Total population,93625,12118
1400000U,17031063400,Census Tract 634,Total population,113512,21027
