OBJECTID_1,geoid10,LOCATION,total_pop,st_areasha,st_perimet,Name,Area_m2
42,37063000101,Census Tract 1.01,3152,3407580.812,8700.279816,M22,80520
30,37063000102,Census Tract 1.02,4535,4014943.504,10081.2398,M19,74244
33,37063000200,Census Tract 2,2946,3021109.808,8375.634274,O21,78504
5,37063000301,Census Tract 3.01,2504,1392947.234,6262.598279,M19,3711
27,37063000401,Census Tract 4.01,2523,3405690.162,7764.594581,M19,3678
25,37063000402,Census Tract 4.02,1963,1432075.499,7727.550541,O19,87674
26,37063000500,Census Tract 5,4093,2239656.541,9679.675568,O18,7498
12,37063000600,Census Tract 6,5177,7189321.491,13564.29878,S19,69378
13,37063000600,Census Tract 6,5177,7189321.491,13564.29878,Q18,86371
7,37063000700,Census Tract 7,2830,3405045.735,10517.37159,Q21,10124
8,37063000700,Census Tract 7,2830,3405045.735,10517.37159,S19,16703
31,37063000900,Census Tract 9,1668,1025454.642,4843.993931,P21,34669
32,37063000900,Census Tract 9,1668,1025454.642,4843.993931,Q23,7040
34,37063001001,Census Tract 10.01,3466,2286780.842,9517.927045,R24,57241
35,37063001001,Census Tract 10.01,3466,2286780.842,9517.927045,Q23,16503
28,37063001002,Census Tract 10.02,5974,3348518.55,8968.497163,R24,29902
29,37063001002,Census Tract 10.02,5974,3348518.55,8968.497163,Q23,63052
38,37063001301,Census Tract 13.01,1128,730634.2485,4836.352124,R21,67628
36,37063001303,Census Tract 13.03,3676,1498668.092,5919.439139,R21,21361
19,37063001400,Census Tract 14,2609,1896255.441,7391.90202,S22,88090
41,37063001501,Census Tract 15.01,3070,2739465.284,6695.839384,O18,60764
6,37063001502,Census Tract 15.02,5986,2458047.761,7508.893827,O18,22358
14,37063001705,Census Tract 17.05,4519,7452347.037,16882.45647,M19,5888
15,37063001705,Census Tract 17.05,4519,7452347.037,16882.45647,K18,64090
20,37063001706,Census Tract 17.06,4179,5886129.69,11150.03082,N14,86807
10,37063001707,Census Tract 17.07,6485,16308514.73,24860.74231,K18,23946
11,37063001708,Census Tract 17.08,3989,6497843.89,13679.42166,H21,86241
18,37063001709,Census Tract 17.09,6109,8282768.581,17608.52486,M22,5952
1,37063002007,Census Tract 20.07,4854,6012445.278,18021.97548,X16,84288
2,37063002007,Census Tract 20.07,4854,6012445.278,18021.97548,T18,61816
3,37063002007,Census Tract 20.07,4854,6012445.278,18021.97548,S18,42028
4,37063002007,Census Tract 20.07,4854,6012445.278,18021.97548,U17,62602
16,37063002008,Census Tract 20.08,2907,5192646.547,11176.5564,X15,77235
17,37063002008,Census Tract 20.08,2907,5192646.547,11176.5564,U16,53519
39,37063002009,Census Tract 20.09,4685,7376676.515,16384.04619,V19,17717
40,37063002009,Census Tract 20.09,4685,7376676.515,16384.04619,U21,95128
21,37063002015,Census Tract 20.15,5127,3746983.962,10165.05724,U16,22593
22,37063002015,Census Tract 20.15,5127,3746983.962,10165.05724,T18,22887
23,37063002015,Census Tract 20.15,5127,3746983.962,10165.05724,S18,41191
24,37063002015,Census Tract 20.15,5127,3746983.962,10165.05724,U17,23324
37,37063002016,Census Tract 20.16,5384,2927426.058,8059.726551,U16,13686
9,37063002018,Census Tract 20.18,7483,18062537.13,17881.39286,X15,9882
46,37063002026,Census Tract 20.26,5813,5771291.195,11846.43515,V19,69064
43,37063002200,Census Tract 22,1946,1538304.25,6223.000166,Q21,53603
44,37063002200,Census Tract 22,1946,1538304.25,6223.000166,O21,8975
45,37063002200,Census Tract 22,1946,1538304.25,6223.000166,P21,53454
47,37063002300,Census Tract 23,1331,1228770.129,4731.198277,Q21,21251
