OBJECTID,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,INTPTLAT,INTPTLON,Name_1,Area_m2
1,37,063,001301,37063001301,13.01,Census Tract 13.01,+35.9800040,-078.8991045,R21,67628
2,37,063,002300,37063002300,23,Census Tract 23,+35.9872849,-078.9014290,Q21,21251
3,37,063,001002,37063001002,10.02,Census Tract 10.02,+35.9956123,-078.8698178,R24,29902
4,37,063,001002,37063001002,10.02,Census Tract 10.02,+35.9956123,-078.8698178,Q23,63052
5,37,063,001303,37063001303,13.03,Census Tract 13.03,+35.9728380,-078.9012836,R21,21361
6,37,063,001400,37063001400,14,Census Tract 14,+35.9766127,-078.8858301,S22,88090
7,37,063,001501,37063001501,15.01,Census Tract 15.01,+36.0014213,-078.9405675,O18,60763
8,37,063,001706,37063001706,17.06,Census Tract 17.06,+36.0176313,-078.9688578,N14,86807
9,37,063,001708,37063001708,17.08,Census Tract 17.08,+36.0698870,-078.8885189,H21,86241
10,37,063,002008,37063002008,20.08,Census Tract 20.08,+35.9420455,-078.9640425,X15,77235
11,37,063,002008,37063002008,20.08,Census Tract 20.08,+35.9420455,-078.9640425,U16,53519
12,37,063,002015,37063002015,20.15,Census Tract 20.15,+35.9690078,-078.9462425,U16,22593
13,37,063,002015,37063002015,20.15,Census Tract 20.15,+35.9690078,-078.9462425,T18,22887
14,37,063,002015,37063002015,20.15,Census Tract 20.15,+35.9690078,-078.9462425,S18,41191
15,37,063,002015,37063002015,20.15,Census Tract 20.15,+35.9690078,-078.9462425,U17,23324
16,37,063,000301,37063000301,3.01,Census Tract 3.01,+36.0172829,-078.9126765,M19,3748
17,37,063,002034,37063002034,20.34,Census Tract 20.34,+35.9355025,-078.9779503,X15,9882
18,37,063,001712,37063001712,17.12,Census Tract 17.12,+36.0562712,-078.9472218,K18,23946
19,37,063,001505,37063001505,15.05,Census Tract 15.05,+36.0114234,-078.9405553,O18,29858
20,37,063,002031,37063002031,20.31,Census Tract 20.31,+35.9593036,-078.9614691,U16,13686
21,37,063,002200,37063002200,22,Census Tract 22,+35.9994119,-078.9017906,Q21,53603
22,37,063,002200,37063002200,22,Census Tract 22,+35.9994119,-078.9017906,O21,8975
23,37,063,002200,37063002200,22,Census Tract 22,+35.9994119,-078.9017906,P21,53454
24,37,063,002026,37063002026,20.26,Census Tract 20.26,+35.9457669,-078.8971197,V19,69062
25,37,063,000101,37063000101,1.01,Census Tract 1.01,+36.0264345,-078.8822400,M22,80520
26,37,063,002007,37063002007,20.07,Census Tract 20.07,+35.9487643,-078.9380363,X16,84288
27,37,063,002007,37063002007,20.07,Census Tract 20.07,+35.9487643,-078.9380363,T18,61816
28,37,063,002007,37063002007,20.07,Census Tract 20.07,+35.9487643,-078.9380363,S18,42028
29,37,063,002007,37063002007,20.07,Census Tract 20.07,+35.9487643,-078.9380363,U17,62602
30,37,063,002009,37063002009,20.09,Census Tract 20.09,+35.9590707,-078.8968614,V19,17718
31,37,063,002009,37063002009,20.09,Census Tract 20.09,+35.9590707,-078.8968614,U21,95128
32,37,063,001709,37063001709,17.09,Census Tract 17.09,+36.0488394,-078.8818350,M22,5952
33,37,063,001705,37063001705,17.05,Census Tract 17.05,+36.0367997,-078.9249168,M19,5888
34,37,063,001705,37063001705,17.05,Census Tract 17.05,+36.0367997,-078.9249168,K18,64090
35,37,063,000102,37063000102,1.02,Census Tract 1.02,+36.0322304,-078.8980833,M19,74208
36,37,063,000200,37063000200,2,Census Tract 2,+36.0089209,-078.8853873,O21,78504
37,37,063,000401,37063000401,4.01,Census Tract 4.01,+36.0222007,-078.9314891,M19,3678
38,37,063,000402,37063000402,4.02,Census Tract 4.02,+36.0116811,-078.9262313,O19,87674
39,37,063,000600,37063000600,6,Census Tract 6,+35.9844857,-078.9383801,S19,69378
40,37,063,000600,37063000600,6,Census Tract 6,+35.9844857,-078.9383801,Q18,86371
41,37,063,000700,37063000700,7,Census Tract 7,+35.9827300,-078.9144489,Q21,10124
42,37,063,000700,37063000700,7,Census Tract 7,+35.9827300,-078.9144489,S19,16703
43,37,063,000900,37063000900,9,Census Tract 9,+35.9999570,-078.8860285,P21,34669
44,37,063,000900,37063000900,9,Census Tract 9,+35.9999570,-078.8860285,Q23,7040
45,37,063,001001,37063001001,10.01,Census Tract 10.01,+35.9850546,-078.8769799,R24,57241
46,37,063,001001,37063001001,10.01,Census Tract 10.01,+35.9850546,-078.8769799,Q23,16503
