OBJECTID_12,OBJECTID,PIN15,PermitNum,ISSUE_DATE,COMMENTS,DESCRIPTIO,PID,BLDB_ACTIV,TOTAL_ROOM,BLD_Cost,ESTIMATED_,ESTIMATE_1,SQFT_LAND,SQFT_FLOOR,BLD_Type,Occupancy,TYPE,PmtStatus,BLDB_ACT_1,Name
1,528,0822-33-29-3701,1410585,3/13/2014 0:00," As of the initial review date, 6 March, 2014, there are no conditions or stop work orders in the LDO.  John Read.
GC paid $75 - Visa - 02/28/14. - The owner listed on the application is ANA Alexander.
Fire review, CO sign off removed 3/13/14 TFD. PERM",MAGNOLIA GRILL - INTERIOR DEMOLITION withFORTHCOMING PERMIT - FIRE DAMAGE DEMOLITION,100704,I_ALT,0,20000,0,0,0,5251,Non-Residential,Business,NON_RESI,CO Issued,Interior Alterations,O19
2,529,0822-33-29-3701,1412493,9/19/2014 0:00,"The App. B lists this job as an alteration - not a repair/rebuild.  The owners listed on the application are Lex and Ann Alexander.
Cooking fire supression system permit required. See attached documentation for recombination and potential default requir",MONUTS DONUTS - REBUILD RESTAURANT AFTER FIRE,100704,ALT,0,165000,35560,30480,0,0,Non-Residential,Assembly (2),NON_RESI,CO Issued,Alterations,O19
3,658,0822-47-59-9403,21104550,10/13/2021 0:00,Permit issued via box.com 10-13-21 CRW,NEW SFD no MAIS 1 street tree 2 lot trees,100904,NEW,3,143541,0,0,3294,1167,Single Family House,Single Family,RESI,Issued,New,M19
4,1338,0822-14-33-2720,1312888,10/4/2013 0:00,lock box 1998,New duplex construction; no impervious surface restrictions; street trees required as per UDO - see attachment to jobsite drawings.,101726,NEW,14,275000,0,0,8691,3700,Duplex,Duplex,MULTI_FAMILY,CO Issued,New,O19
5,1339,0822-14-33-2720,1312621,8/23/2013 0:00,DEMO PERMIT MAILED 8.27.13,DEMOLITION OF BUILDING,101726,DEM,0,100,0,0,0,1240,Single Family House,Single Family,RESI,CO Issued,Demolition,O19
6,1340,0822-14-33-2512,1210731,3/14/2012 0:00,"Note: due to stop work order written back in 2009 for repairs taking place without a permit, this demolition permit fee has been doubled. Drawings consist of demolition permit application form and informational documents. - Don Moore   PICKED UP ON 3/19/",RESIDENTIAL DEMOLITION (RE: permit # 1210468 to build new duplex to take the place of demolished house).,101729,DEM,0,1000,0,0,0,1500,Single Family House,Single Family,RESI,CO Issued,Demolition,O19
7,1341,0822-14-33-2512,1210468,3/22/2012 0:00,GC picked up bldg permit 03/29/12. - GC paid $2K fine for early occupancy with no C.O. - 01/03/14.,NEW CONSTRUCTION; DUPLEX. Street trees required as per UDO. Four off street parking spaces should be provided.,101729,NEW,14,320232,0,0,7020,4852,Duplex,Duplex,MULTI_FAMILY,CO Issued,New,O19
8,1342,0822-14-33-2416,17104507,12/28/2017 0:00,"An e-mail was sent to Joe at berini@frontier.com As of the initial review date, 10 November, 2017, there are no current conditions or stop work orders for either this application or parcel on the LDO. John Read. Robert Smart pd. $75.00 by VS on 11-2-17 /",ExRev Residential Demolition,101730,DEM,0,1000,0,0,0,1819,Single Family House,Single Family,RESI,Void,Demolition,O19
9,1343,0822-14-33-2416,18102958,9/17/2018 0:00,"Owner on app:  Botek, Inc.:  919-909-2154 contractor email:  berinibuilt@gmail.com
MB, 7-9-18: Per WC Blalock direction - one set of plans for the two permits for each duplex units is acceptable.","Lot 15, Unit B Duplex   new; No impervious limits; St. trees: per ZO; ZO",101730,NEW,4,225000,0,0,7000,1595,Duplex,Duplex,MULTI_FAMILY,CO Issued,New,O19
10,1344,0822-14-33-2416,18102957,9/17/2018 0:00,"Owner on app:  Botek, Inc.:  919-909-2154 contractor email:  berinibuilt@gmail.com
MB, 7-9-18: Per WC Blalock direction - one set of plans for the two permits for each duplex units is acceptable.  demo permit 18103286 impact fees removed 5-28-19 dki","Lot 15, Unit A, Duplex new ; No impervious limits; St. trees: per ZO; ZO",101730,NEW,4,225000,0,0,7000,1595,Duplex,Duplex,MULTI_FAMILY,CO Issued,New,O19
11,1345,0822-14-33-2416,18103286,7/20/2018 0:00," As of the initial review date, 19 July, 2018,  there are no current conditions or stop work orders for either this application or parcel on the LDO. John Read. Owner on app:  Botek:  919-909-2154 (MAILED 9/20/2018. RLC)",EXREV   residential demo.  Ref:  17104507,101730,DEM,0,1000,0,0,0,1793,Single Family House,Single Family,RESI,Issued,Demolition,O19
12,1403,0822-14-32-1695,1313708,1/19/2014 0:00,"Notified GC, via e-mail, that an Appendix B is required for plan review.  This work was started without a building permit. Note from Don Moore; fee doubled. Fire review, CO signoff removed 12/13/13 TFD.",BARNES SUPPLY; replace roof system and post support for porch-type roof on storage building (building existing on site; no change in footprint); no site plan required.,101813,ALT,0,3000,0,0,0,154,Non-Residential,Storage (2),NON_RESI,CO Issued,Alterations,O19
13,1406,0822-14-22-8768,19104141,11/22/2019 0:00,"GC Contact on Appl: adam@heritageconstructionnc.com
Emailed contractor about executed contract.
Emailed about Appendix B address needing updating. (picked up 11/26/19)","Renovation of an existing restaurant, no new interior walls or doors, same wall demo, new equipment.",101825,ALT,0,67000,28000,8000,0,1542,Non-Residential,Assembly (2),NON_RESI,CO Issued,Alterations,O19
14,1407,0822-14-22-9778,912702,11/12/2009 0:00,OWNER ON APPL. IS GLENN DIXON;  GC PAID BY CK # 1319 11/11/09. Electrical has been removed from this permit for review as per request from Don Hursey. - Don Moore (GC PAID $53.00 BY VISA 11/13/09) DB,RE-ROOF RESTAURANT,101826,C_ROOF,0,12000,1800,0,0,2800,Non-Residential,Assembly (2),NON_RESI,CO Issued,Commercial - Roofing/Re-Roofing,O19
15,1408,0822-14-33-0001,1010732,3/31/2010 0:00,no electrical permit req. as per don hursey; both review and CO requirements removed. Fire alarm permit required - no plans received.,Suite 215 - minor suite alterations: Add 2 walls/Redo doors/Demo 2 elec. outlets.,101829,ALT,0,8400,0,0,0,0,Non-Residential,Business,NON_RESI,CO Issued,Alterations,O19
16,1409,0822-14-33-0001,16104512,12/14/2016 0:00,"D-Plans. Owner on application is Blue Ridge Realty/Patrick Riely. Logged in as inadditionin as per W.C.- Appendix B not marked. 
Fire review, inspection removed 11/21/16 TFD.","UPS STORE - Sidewalk, steps and handrail.",101829,ADD,0,4420,0,0,0,0,Non-Residential,Business,NON_RESI,CO Issued,Addition,O19
17,1410,0822-14-33-0001,18104929,12/6/2018 0:00,"D-plans - 11/16/18    gc contact on appl - rgriffin@c1cnc.com
Fire alarm permit required - A/E FA approved.",STE 260 - SECOND FLOOR SUITE IN A MULTI-TENANT BUILDING - 2ND FL IS OFFICE USE,101829,I_ALT,0,49568,8069,0,0,0,Non-Residential,Business,NON_RESI,CO Issued,Interior Alterations,O19
18,1411,0822-14-33-0001,18101818,5/15/2018 0:00,"D-plans - e-mail - 4/24/18    gc contact on appl - rgriffin@c1cnc.com    per Martin C. - The plbg scope d/n req a plbg review or plbg plans.
Fire alarm permit required - A/E shop drawings approved.",MINOR INTERIOR ALTERATIONS FOR CASEWORKS LITIGATION SERVICES,101829,I_ALT,0,38341.95,7253.88,6217.61,0,0,Non-Residential,Business,NON_RESI,CO Issued,Interior Alterations,O19
