OBJECTID_1,ZONE_CODE,CASE_NO,LABEL,UDO,ZONE_GEN,SimplifiedZone,UDO_LABEL,GlobalID,created_da,Name,Area_m2
46,UC,P03-16,UC,UC,Duke,Institutional,UC,{774DAAE4-5F53-4D4A-90C5-7BF7E90462BD},12/21/2023 0:00,O18,60328
88,RM-16,Z06-40,RM-16,UC,Duke,Institutional,UC(D),{C256C973-BD08-4382-B8BD-A49924381301},12/21/2023 0:00,O18,8023
4,NC,Z17-12,NC(D),RU-M,COMMERCIAL,Commercial,RU-M(D),{2BA229D1-E61B-480C-ADBC-355906C6F1FD},12/21/2023 0:00,Q18,2350
10,GC, ,GC,CG,COMMERCIAL,Commercial,CG,{9263F383-E109-419C-8AF0-07862365EC08},12/21/2023 0:00,P21,4401
12,NC, ,NC,CN,COMMERCIAL,Commercial,CN(D),{971F6264-6931-4DFE-8C40-10915D4E661E},12/21/2023 0:00,O19,1969
24,GC,Z05-05,GC,CG,COMMERCIAL,Commercial,CG,{E8BD90EE-4A09-4B7B-876C-E09DAD31CCC9},12/21/2023 0:00,O19,2479
52,NC, ,NC,CN,COMMERCIAL,Commercial,CN,{7DB0A041-E8A8-445D-B109-54BE4C27487F},12/21/2023 0:00,O19,895
56,NC, ,NC,CN,COMMERCIAL,Commercial,CN,{7067F47D-1696-4810-BAE4-3A0D64A8AE88},12/21/2023 0:00,O18,637
76,GC,P98-46,GC(D),CG,COMMERCIAL,Commercial,CG(D),{DB8B8B89-10D8-4D0A-A335-BF5BDB98197B},12/21/2023 0:00,M19,6331
80,GC, ,GC,CG,COMMERCIAL,Commercial,CG,{6587FC53-4367-40F3-8DA5-97731C309328},12/21/2023 0:00,O19,360
81,SC,P73-37,SC,CC,COMMERCIAL,Commercial,CC,{177D41D4-724E-4BE2-9B7F-CB8FB49CFE0D},12/21/2023 0:00,U16,6065
82,NC, ,NC,CN,COMMERCIAL,Commercial,CN,{046EA414-265F-4488-B240-264C35FCA122},12/21/2023 0:00,P21,7972
67,OI,Z1100027,OI,CI,COMMERCIAL_INFILL,Commercial,CI,{048C56BE-501F-4EA8-9FE6-6F1837D18350},12/21/2023 0:00,R21,624
23, ,Z1000017, ,CD-P,COMPACT DESIGN-PEDESTRIAN BUS.,Transportation,CD-P(N),{A292FB2D-B30D-4C14-822B-A2C35AD03397},12/21/2023 0:00,O19,6558
47, ,Z1000017, ,CD-S1,COMPACT DESIGN-SUPPORT 1,Other,CD-S1,{5D60E0B8-A9FF-4528-83C3-465DE4E00A24},12/21/2023 0:00,O19,34320
43, ,Z1000017, ,CD-S2,COMPACT DESIGN-SUPPORT 2,Other,CD-S2,{D8298FCA-5E01-457B-AE46-FFEF4C30A097},12/21/2023 0:00,O19,17169
58, ,Z1000017, ,CD-S2,COMPACT DESIGN-SUPPORT 2,Other,CD-S2,{DC7C09EC-F79B-45BE-AA4F-1556C068E832},12/21/2023 0:00,O19,4277
64, ,Z0900016, ,DD-C,DOWNTOWN DESIGN-CORE,Mixed-use,DD-C,{2F17AA3B-A8FA-40A0-B976-63229CBDD376},12/21/2023 0:00,Q21,84978
71, ,Z0900016, ,DD-S1,DOWNTOWN DESIGN-SUPPORT 1,Mixed-use,DD-S1,{33B63265-64C9-42A3-91DE-3DBB8FBBF488},12/21/2023 0:00,P21,24903
