"","Segment","PermitIssueDate","PermitType"
"1","H21","9/25/2015 0:00","Reno_Alt_add"
"2","H21","6/9/2015 0:00","Reno_Alt_add"
"3","H21","9/19/2018 0:00","Reno_Alt_add"
"4","H21","8/8/2019 0:00","Reno_Alt_add"
"5","H21","11/8/2017 0:00","Reno_Alt_add"
"6","H21","11/14/2014 0:00","Reno_Alt_add"
"7","K18","1/2/2018 0:00","Reno_Alt_add"
"8","K18","4/13/2015 0:00","Reno_Alt_add"
"9","K18","5/11/2015 0:00","Reno_Alt_add"
"10","K18","9/11/2020 0:00","Reno_Alt_add"
"11","K18","7/11/2008 0:00","Demo"
"12","K18","12/31/2008 0:00","NewConst"
"13","K18","5/18/2021 0:00","Reno_Alt_add"
"14","K18","2/1/2023 0:00","Reno_Alt_add"
"15","K18","9/6/2016 0:00","Reno_Alt_add"
"16","K18","12/1/2020 0:00","Reno_Alt_add"
"17","K18","4/13/2022 0:00","Reno_Alt_add"
"18","K18","5/29/2013 0:00","Reno_Alt_add"
"19","K18","3/18/2014 0:00","Reno_Alt_add"
"20","K18","3/18/2014 0:00","Reno_Alt_add"
"21","K18","3/18/2014 0:00","Reno_Alt_add"
"22","K18","7/3/2019 0:00","Reno_Alt_add"
"23","K18","11/18/2014 0:00","Reno_Alt_add"
"24","K18","3/10/2021 0:00","NewConst"
"25","M19","10/13/2021 0:00","NewConst"
"26","M19","1/25/2023 0:00","Reno_Alt_add"
"27","M19","7/13/2023 0:00","Reno_Alt_add"
"28","M19","5/27/2022 0:00","Reno_Alt_add"
"29","M19","2/1/2012 0:00","Reno_Alt_add"
"30","M19","4/27/2021 0:00","Reno_Alt_add"
"31","M19","3/13/2008 0:00","Reno_Alt_add"
"32","M19","3/13/2008 0:00","Reno_Alt_add"
"33","M19","10/20/2016 0:00","Reno_Alt_add"
"34","M19","5/28/2021 0:00","Reno_Alt_add"
"35","M19","4/23/2019 0:00","Reno_Alt_add"
"36","M19","7/10/2020 0:00","Demo"
"37","M19","5/17/2022 0:00","Reno_Alt_add"
"38","M19","2/11/2019 0:00","Reno_Alt_add"
"39","M19","7/7/2016 0:00","Reno_Alt_add"
"40","M19","6/26/2018 0:00","Reno_Alt_add"
"41","M19","11/8/2022 0:00","Demo"
"42","M19","10/21/2022 0:00","Reno_Alt_add"
"43","M19","10/5/2015 0:00","Reno_Alt_add"
"44","M19","11/2/2018 0:00","Reno_Alt_add"
"45","M19","11/7/2018 0:00","Reno_Alt_add"
"46","M19","6/15/2018 0:00","Reno_Alt_add"
"47","M19","8/30/2018 0:00","Reno_Alt_add"
"48","M19","8/31/2018 0:00","Reno_Alt_add"
"49","M19","2/12/2019 0:00","Reno_Alt_add"
"50","M19","11/13/2018 0:00","Reno_Alt_add"
"51","M19","11/13/2018 0:00","Reno_Alt_add"
"52","M19","2/6/2019 0:00","Reno_Alt_add"
"53","M19","5/20/2016 0:00","Reno_Alt_add"
"54","M19","4/15/2019 0:00","Reno_Alt_add"
"55","M19","12/22/2020 0:00","Reno_Alt_add"
"56","M19","6/13/2014 0:00","Reno_Alt_add"
"57","M19","7/30/2017 0:00","Reno_Alt_add"
"58","M19","4/5/2010 0:00","Reno_Alt_add"
"59","M19","12/4/2012 0:00","Reno_Alt_add"
"60","M19","9/5/2013 0:00","Reno_Alt_add"
"61","M19","7/20/2015 0:00","Reno_Alt_add"
"62","M19","2/9/2017 0:00","Reno_Alt_add"
"63","M19","11/2/2020 0:00","Reno_Alt_add"
"64","M19","4/23/2021 0:00","Reno_Alt_add"
"65","M19","1/18/2022 0:00","Reno_Alt_add"
"66","M19","8/24/2021 0:00","Reno_Alt_add"
"67","M19","8/17/2021 0:00","Reno_Alt_add"
"68","M19","6/26/2023 0:00","Reno_Alt_add"
"69","M19","1/8/2013 0:00","Reno_Alt_add"
"70","M19","11/2/2015 0:00","Reno_Alt_add"
"71","M19","12/11/2020 0:00","Reno_Alt_add"
"72","M19","6/29/2021 0:00","Reno_Alt_add"
"73","M19","5/20/2022 0:00","Reno_Alt_add"
"74","M22","3/23/2022 0:00","Reno_Alt_add"
"75","M22","7/8/2016 0:00","Reno_Alt_add"
"76","M22","4/6/2022 0:00","Reno_Alt_add"
"77","M22","4/4/2018 0:00","NewConst"
"78","M22","7/7/2021 0:00","Reno_Alt_add"
"79","M22","3/4/2021 0:00","Reno_Alt_add"
"80","M22","8/24/2023 0:00","NewConst"
"81","M22","8/31/2023 0:00","NewConst"
"82","N14","12/11/2017 0:00","Reno_Alt_add"
"83","N14","1/26/2022 0:00","Reno_Alt_add"
"84","N14","10/11/2016 0:00","Reno_Alt_add"
"85","N14","12/15/2020 0:00","Reno_Alt_add"
"86","N14","11/27/2018 0:00","Reno_Alt_add"
"87","N14","7/29/2011 0:00","Reno_Alt_add"
"88","N14","2/20/2013 0:00","Reno_Alt_add"
"89","N14","12/22/2016 0:00","Reno_Alt_add"
"90","N14","2/17/2023 0:00","Reno_Alt_add"
"91","N14","12/8/2022 0:00","Reno_Alt_add"
"92","N14","8/3/2011 0:00","Reno_Alt_add"
"93","N14","9/8/2021 0:00","Reno_Alt_add"
"94","N14","2/8/2021 0:00","Reno_Alt_add"
"95","O18","10/5/2015 0:00","Demo"
"96","O18","6/2/2023 0:00","Demo"
"97","O18","8/1/2013 0:00","Reno_Alt_add"
"98","O18","1/30/2017 0:00","Reno_Alt_add"
"99","O18","11/7/2019 0:00","Reno_Alt_add"
"100","O18","12/30/2019 0:00","Reno_Alt_add"
"101","O18","10/26/2007 0:00","Reno_Alt_add"
"102","O18","10/26/2007 0:00","Reno_Alt_add"
"103","O18","11/1/2007 0:00","Reno_Alt_add"
"104","O18","11/29/2007 0:00","Reno_Alt_add"
"105","O18","1/23/2008 0:00","Reno_Alt_add"
"106","O18","1/7/2008 0:00","Reno_Alt_add"
"107","O18","1/4/2008 0:00","Reno_Alt_add"
"108","O18","1/8/2008 0:00","Reno_Alt_add"
"109","O18","12/18/2007 0:00","Reno_Alt_add"
"110","O18","1/11/2008 0:00","Reno_Alt_add"
"111","O18","1/29/2008 0:00","Reno_Alt_add"
"112","O18","1/25/2008 0:00","Reno_Alt_add"
"113","O18","1/14/2008 0:00","Reno_Alt_add"
"114","O18","2/8/2008 0:00","Reno_Alt_add"
