Census Tract,Label (Grouping),Total:,Total:!!Not Hispanic or Latino:,Total:!!Not Hispanic or Latino:!!White alone,Total:!!Not Hispanic or Latino:!!Black or African American alone,Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone,Total:!!Not Hispanic or Latino:!!Asian alone,Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone,Total:!!Not Hispanic or Latino:!!Some other race alone,Total:!!Not Hispanic or Latino:!!Two or more races:,Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race,"Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races",Total:!!Hispanic or Latino:,Total:!!Hispanic or Latino:!!White alone,Total:!!Hispanic or Latino:!!Black or African American alone,Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone,Total:!!Hispanic or Latino:!!Asian alone,Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone,Total:!!Hispanic or Latino:!!Some other race alone,Total:!!Hispanic or Latino:!!Two or more races:,Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race,"Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races"
,,,,,,,,,,,,,,,,,,,,,,
"Census Tract 1.01, Durham County, North Carolina",    Estimate,"2,829","2,244",795,"1,354",0,0,0,9,86,0,86,585,0,0,0,0,0,585,0,0,0
"Census Tract 1.01, Durham County, North Carolina",    Margin of Error,±593,±391,±174,±348,±98,±98,±98,±15,±115,±98,±115,±508,±98,±98,±98,±98,±98,±508,±98,±98,±98
,"Census Tract 1.02, Durham County, North Carolina",,,,,,,,,,,,,,,,,,,,,
"Census Tract 1.02, Durham County, North Carolina",    Estimate,"3,848","2,918","1,439","1,417",0,0,0,6,56,0,56,930,228,0,0,0,0,702,0,0,0
"Census Tract 1.02, Durham County, North Carolina",    Margin of Error,±379,±330,±157,±290,±98,±98,±98,±13,±47,±98,±47,±318,±167,±98,±98,±98,±98,±324,±98,±98,±98
,"Census Tract 2, Durham County, North Carolina",,,,,,,,,,,,,,,,,,,,,
"Census Tract 2, Durham County, North Carolina",    Estimate,"2,998","2,681","1,215","1,239",0,90,0,5,132,0,132,317,141,0,0,0,0,176,0,0,0
"Census Tract 2, Durham County, North Carolina",    Margin of Error,±311,±347,±198,±329,±98,±88,±98,±11,±94,±98,±94,±145,±93,±98,±98,±98,±98,±126,±98,±98,±98
,"Census Tract 3.01, Durham County, North Carolina",,,,,,,,,,,,,,,,,,,,,
"Census Tract 3.01, Durham County, North Carolina",    Estimate,"2,206","2,024",849,956,11,115,0,11,82,0,82,182,86,0,0,0,0,96,0,0,0
"Census Tract 3.01, Durham County, North Carolina",    Margin of Error,±309,±301,±155,±261,±17,±104,±98,±18,±59,±98,±59,±192,±137,±98,±98,±98,±98,±135,±98,±98,±98
,"Census Tract 3.02, Durham County, North Carolina",,,,,,,,,,,,,,,,,,,,,
"Census Tract 3.02, Durham County, North Carolina",    Estimate,"3,478","2,901","2,052",660,3,60,0,0,126,9,117,577,252,0,0,0,0,315,10,10,0
"Census Tract 3.02, Durham County, North Carolina",    Margin of Error,±346,±358,±302,±209,±6,±49,±98,±98,±80,±16,±78,±233,±187,±98,±98,±98,±98,±150,±17,±17,±98
,"Census Tract 4.01, Durham County, North Carolina",,,,,,,,,,,,,,,,,,,,,
"Census Tract 4.01, Durham County, North Carolina",    Estimate,"2,751","2,701","2,357",209,0,40,0,57,38,0,38,50,14,0,8,0,0,28,0,0,0
"Census Tract 4.01, Durham County, North Carolina",    Margin of Error,±184,±185,±199,±100,±98,±35,±98,±69,±48,±98,±48,±45,±23,±98,±15,±98,±98,±34,±98,±98,±98
,"Census Tract 4.02, Durham County, North Carolina",,,,,,,,,,,,,,,,,,,,,
"Census Tract 4.02, Durham County, North Carolina",    Estimate,"1,917","1,804","1,305",141,65,219,0,54,20,0,20,113,98,1,0,0,0,0,14,9,5
"Census Tract 4.02, Durham County, North Carolina",    Margin of Error,±239,±231,±231,±81,±92,±160,±98,±77,±22,±98,±22,±103,±101,±2,±98,±98,±98,±98,±18,±14,±12
,"Census Tract 5, Durham County, North Carolina",,,,,,,,,,,,,,,,,,,,,
"Census Tract 5, Durham County, North Carolina",    Estimate,"3,027","2,807",581,"1,740",0,397,0,2,87,31,56,220,25,0,0,0,0,170,25,0,25
"Census Tract 5, Durham County, North Carolina",    Margin of Error,±375,±379,±165,±280,±98,±220,±98,±4,±91,±37,±81,±111,±28,±98,±98,±98,±98,±105,±31,±98,±31
,"Census Tract 6, Durham County, North Carolina",,,,,,,,,,,,,,,,,,,,,
"Census Tract 6, Durham County, North Carolina",    Estimate,"4,929","3,697","2,097","1,329",48,58,0,0,165,0,165,"1,232",652,6,0,0,0,574,0,0,0
"Census Tract 6, Durham County, North Carolina",    Margin of Error,±721,±577,±263,±382,±99,±56,±98,±98,±136,±98,±136,±545,±465,±14,±98,±98,±98,±406,±98,±98,±98
,"Census Tract 7, Durham County, North Carolina",,,,,,,,,,,,,,,,,,,,,
"Census Tract 7, Durham County, North Carolina",    Estimate,"2,647","2,481","1,454",966,0,51,0,0,10,0,10,166,67,17,0,0,0,0,82,4,78
"Census Tract 7, Durham County, North Carolina",    Margin of Error,±284,±269,±205,±265,±98,±66,±98,±98,±22,±98,±22,±156,±86,±23,±98,±98,±98,±98,±125,±7,±125
,"Census Tract 9, Durham County, North Carolina",,,,,,,,,,,,,,,,,,,,,
"Census Tract 9, Durham County, North Carolina",    Estimate,"1,700","1,244",71,"1,114",0,0,0,0,59,0,59,456,251,4,0,0,0,201,0,0,0
"Census Tract 9, Durham County, North Carolina",    Margin of Error,±326,±265,±67,±280,±98,±98,±98,±98,±63,±98,±63,±217,±190,±7,±98,±98,±98,±181,±98,±98,±98
,"Census Tract 10.01, Durham County, North Carolina",,,,,,,,,,,,,,,,,,,,,
"Census Tract 10.01, Durham County, North Carolina",    Estimate,"3,392","2,556",149,"2,324",0,39,0,0,44,0,44,836,151,0,0,0,0,668,17,0,17
