CensusTract,ValueType,Total:,Total:!!Not Hispanic or Latino:,Total:!!Not Hispanic or Latino:!!White alone,Total:!!Not Hispanic or Latino:!!Black or African American alone,Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone,Total:!!Not Hispanic or Latino:!!Asian alone,Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone,Total:!!Not Hispanic or Latino:!!Some other race alone,Total:!!Not Hispanic or Latino:!!Two or more races:,Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race,Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race and three or more races,Total:!!Hispanic or Latino:,Total:!!Hispanic or Latino:!!White alone,Total:!!Hispanic or Latino:!!Black or African American alone,Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone,Total:!!Hispanic or Latino:!!Asian alone,Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone,Total:!!Hispanic or Latino:!!Some other race alone,Total:!!Hispanic or Latino:!!Two or more races:,Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race,Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race and three or more races
Census Tract 1.01,Estimate,3920,3544,1173,2231,13,34,0,0,93,24,69,376,135,28,0,0,0,208,5,5,0
Census Tract 1.01,Margin of Error,±807,±815,±263,±767,±20,±47,±13,±13,±69,±37,±57,±195,±121,±44,±13,±13,±13,±210,±10,±10,±13
Census Tract 1.02,Estimate,3739,2914,1506,1072,1,92,0,0,243,14,229,825,474,85,0,0,0,198,68,37,31
Census Tract 1.02,Margin of Error,±399,±441,±280,±464,±3,±64,±13,±13,±154,±22,±152,±310,±287,±127,±13,±13,±13,±113,±67,±38,±50
Census Tract 2,Estimate,3405,2690,1453,948,5,88,0,54,142,11,131,715,577,0,0,0,0,110,28,15,13
Census Tract 2,Margin of Error,±697,±628,±299,±348,±10,±109,±13,±83,±150,±17,±148,±379,±350,±13,±13,±13,±13,±179,±26,±16,±21
Census Tract 3.01,Estimate,2903,2620,1357,922,0,49,0,0,292,0,292,283,88,0,0,0,0,172,23,22,1
Census Tract 3.01,Margin of Error,±470,±445,±284,±339,±13,±31,±13,±13,±203,±13,±203,±183,±101,±13,±13,±13,±13,±150,±29,±29,±2
Census Tract 3.02,Estimate,3610,2872,2244,175,0,135,0,0,318,187,131,738,383,21,0,0,0,35,299,280,19
Census Tract 3.02,Margin of Error,±420,±438,±367,±112,±13,±93,±13,±13,±254,±244,±73,±366,±269,±32,±13,±13,±13,±40,±272,±268,±23
Census Tract 4.01,Estimate,2501,2271,2017,85,0,54,9,9,97,0,97,230,214,16,0,0,0,0,0,0,0
Census Tract 4.01,Margin of Error,±288,±286,±265,±62,±13,±42,±16,±16,±72,±13,±72,±207,±207,±23,±13,±13,±13,±13,±13,±13,±13
Census Tract 4.02,Estimate,2668,2425,1800,165,13,285,0,16,146,73,73,243,200,0,0,0,0,12,31,31,0
Census Tract 4.02,Margin of Error,±302,±327,±314,±104,±20,±134,±13,±26,±108,±91,±68,±104,±99,±13,±13,±13,±13,±18,±28,±28,±13
Census Tract 5,Estimate,4522,4038,1733,1861,28,308,0,0,108,14,94,484,310,0,0,9,0,13,152,152,0
Census Tract 5,Margin of Error,±675,±647,±367,±598,±51,±201,±13,±13,±63,±16,±62,±330,±216,±13,±13,±19,±13,±17,±241,±241,±13
Census Tract 6,Estimate,5353,4543,2771,1184,20,228,0,0,340,33,307,810,681,0,0,0,0,111,18,18,0
