Census Tract,Label (Grouping),Total:,Total:!!Owner occupied:,Total:!!Owner occupied:!!Moved in 2005 or later,Total:!!Owner occupied:!!Moved in 2000 to 2004,Total:!!Owner occupied:!!Moved in 1990 to 1999,Total:!!Owner occupied:!!Moved in 1980 to 1989,Total:!!Owner occupied:!!Moved in 1970 to 1979,Total:!!Owner occupied:!!Moved in 1969 or earlier,Total:!!Renter occupied:,Total:!!Renter occupied:!!Moved in 2005 or later,Total:!!Renter occupied:!!Moved in 2000 to 2004,Total:!!Renter occupied:!!Moved in 1990 to 1999,Total:!!Renter occupied:!!Moved in 1980 to 1989,Total:!!Renter occupied:!!Moved in 1970 to 1979,Total:!!Renter occupied:!!Moved in 1969 or earlier
,"Census Tract 1.01, Durham County, North Carolina",,,,,,,,,,,,,,,
"Census Tract 1.01, Durham County, North Carolina",    Estimate,"1,151",711,103,154,240,91,27,96,440,229,107,94,0,10,0
"Census Tract 1.01, Durham County, North Carolina",    Margin of Error,±110,±107,±58,±75,±88,±49,±25,±46,±121,±99,±75,±74,±98,±15,±98
,"Census Tract 1.02, Durham County, North Carolina",,,,,,,,,,,,,,,
"Census Tract 1.02, Durham County, North Carolina",    Estimate,"1,732",894,152,239,198,107,115,83,838,695,100,10,33,0,0
"Census Tract 1.02, Durham County, North Carolina",    Margin of Error,±117,±122,±64,±86,±87,±73,±51,±44,±137,±123,±68,±15,±32,±98,±98
,"Census Tract 2, Durham County, North Carolina",,,,,,,,,,,,,,,
"Census Tract 2, Durham County, North Carolina",    Estimate,"1,306",587,173,69,163,129,38,15,719,480,182,16,41,0,0
"Census Tract 2, Durham County, North Carolina",    Margin of Error,±94,±108,±75,±46,±66,±67,±31,±19,±142,±137,±115,±18,±51,±98,±98
,"Census Tract 3.01, Durham County, North Carolina",,,,,,,,,,,,,,,
"Census Tract 3.01, Durham County, North Carolina",    Estimate,"1,119",404,141,127,63,34,0,39,715,526,139,37,3,10,0
"Census Tract 3.01, Durham County, North Carolina",    Margin of Error,±109,±79,±75,±65,±36,±36,±98,±24,±120,±131,±94,±30,±9,±15,±98
,"Census Tract 3.02, Durham County, North Carolina",,,,,,,,,,,,,,,
"Census Tract 3.02, Durham County, North Carolina",    Estimate,"1,604",678,162,190,166,52,17,91,926,728,101,22,67,0,8
"Census Tract 3.02, Durham County, North Carolina",    Margin of Error,±106,±116,±60,±86,±60,±39,±21,±39,±143,±136,±55,±25,±42,±98,±13
,"Census Tract 4.01, Durham County, North Carolina",,,,,,,,,,,,,,,
"Census Tract 4.01, Durham County, North Carolina",    Estimate,"1,224",834,185,212,162,117,66,92,390,311,48,10,13,8,0
"Census Tract 4.01, Durham County, North Carolina",    Margin of Error,±89,±98,±78,±59,±60,±56,±41,±46,±91,±94,±33,±15,±15,±13,±98
,"Census Tract 4.02, Durham County, North Carolina",,,,,,,,,,,,,,,
"Census Tract 4.02, Durham County, North Carolina",    Estimate,"1,111",223,74,31,78,18,7,15,888,713,130,34,0,5,6
"Census Tract 4.02, Durham County, North Carolina",    Margin of Error,±120,±70,±45,±28,±43,±18,±10,±18,±130,±123,±85,±28,±98,±8,±9
,"Census Tract 5, Durham County, North Carolina",,,,,,,,,,,,,,,
"Census Tract 5, Durham County, North Carolina",    Estimate,"1,423",356,169,43,53,40,17,34,"1,067",755,229,75,0,8,0
"Census Tract 5, Durham County, North Carolina",    Margin of Error,±162,±119,±90,±42,±39,±28,±24,±38,±151,±146,±106,±56,±98,±12,±98
,"Census Tract 6, Durham County, North Carolina",,,,,,,,,,,,,,,
"Census Tract 6, Durham County, North Carolina",    Estimate,"1,863","1,057",189,288,289,87,67,137,806,723,42,32,0,9,0
"Census Tract 6, Durham County, North Carolina",    Margin of Error,±167,±123,±74,±124,±105,±62,±52,±66,±166,±159,±46,±42,±98,±15,±98
,"Census Tract 7, Durham County, North Carolina",,,,,,,,,,,,,,,
"Census Tract 7, Durham County, North Carolina",    Estimate,"1,310",732,205,195,185,65,45,37,578,415,100,46,17,0,0
"Census Tract 7, Durham County, North Carolina",    Margin of Error,±104,±90,±69,±83,±77,±44,±30,±30,±116,±115,±57,±30,±21,±98,±98
,"Census Tract 9, Durham County, North Carolina",,,,,,,,,,,,,,,
"Census Tract 9, Durham County, North Carolina",    Estimate,643,145,34,4,74,0,0,33,498,329,98,44,9,0,18
"Census Tract 9, Durham County, North Carolina",    Margin of Error,±82,±53,±28,±6,±40,±98,±98,±37,±90,±86,±65,±34,±16,±98,±30
,"Census Tract 10.01, Durham County, North Carolina",,,,,,,,,,,,,,,
"Census Tract 10.01, Durham County, North Carolina",    Estimate,"1,258",411,233,0,78,44,20,36,847,711,67,69,0,0,0
"Census Tract 10.01, Durham County, North Carolina",    Margin of Error,±145,±130,±133,±98,±57,±34,±23,±33,±147,±130,±55,±57,±98,±98,±98
,"Census Tract 10.02, Durham County, North Carolina",,,,,,,,,,,,,,,
