ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV150,M_POV150,E_UNEMP,M_UNEMP,E_HBURD,M_HBURD,E_NOHSDP,M_NOHSDP,E_UNINSUR,M_UNINSUR,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_LIMENG,M_LIMENG,E_MINRTY,M_MINRTY,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV150,MP_POV150,EP_UNEMP,MP_UNEMP,EP_HBURD,MP_HBURD,EP_NOHSDP,MP_NOHSDP,EP_UNINSUR,MP_UNINSUR,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_LIMENG,MP_LIMENG,EP_MINRTY,MP_MINRTY,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,OverallSVI,F_POV150,F_UNEMP,F_HBURD,F_NOHSDP,F_UNINSUR,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_LIMENG,F_THEME2,F_MINRTY,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_DAYPOP,E_NOINT,M_NOINT,E_AFAM,M_AFAM,E_HISP,M_HISP,E_ASIAN,M_ASIAN,E_AIAN,M_AIAN,E_NHPI,M_NHPI,E_TWOMORE,M_TWOMORE,E_OTHERRACE,M_OTHERRACE,EP_NOINT,MP_NOINT,EP_AFAM,MP_AFAM,EP_HISP,MP_HISP,EP_ASIAN,MP_ASIAN,EP_AIAN,MP_AIAN,EP_NHPI,MP_NHPI,EP_TWOMORE,MP_TWOMORE,EP_OTHERRACE,MP_OTHERRACE,GeoLevel,Comparison,STATE_NAME,STATE_ABBR,COUNTY_FIPS,COUNTY_NAME
37,North Carolina,NC,37063,Durham County,37063000101,Census Tract 1.01; Durham County; North Carolina,1.301288065,3845,792,1464,195,1464,195,831,291,126,116,420,129,162,72,591,253,299,70,618,207,760,254,91,64,86,92,2636,837,0,19,0,14,10,19,206,91,31,4,21.7,6.1,5.2,4.8,28.7,7.9,5.5,2.7,15.4,6.6,7.8,2.2,16.1,5.1,19.8,6,6.2,4.3,2.4,2.5,68.6,16.6,0,1.3,0,2.9,0.7,1.3,14.1,6.3,0.8,0.2,0.4941,0.5914,0.6641,0.2866,0.796,2.8322,0.6129,0.0952,0.199,0.8335,0.5513,0.7077,2.3867,0.4551,0.8512,0.8512,0.8512,0,0,0.3665,0.9167,0.6945,1.9777,0.3548,8.0478,0.5659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2056,70,47,2075,765,397,188,23,32,11,19,0,14,130,86,0,14,4.8,3.2,54,10.3,10.3,5.3,0.6,0.8,0.3,0.5,0,1.1,3.4,2.3,0,1.1,Census,State,North Carolina,NC,37063,Durham County
37,North Carolina,NC,37063,Durham County,37063000102,Census Tract 1.02; Durham County; North Carolina,1.54372653,3710,406,1762,124,1581,137,1131,292,0,14,499,162,468,164,626,255,323,67,861,214,376,140,86,63,408,207,2363,485,439,162,5,8,46,51,186,112,16,9,30.6,7.1,0,2,31.6,9.9,17.8,5.7,16.9,6.3,8.7,2.1,23.2,4.4,10.2,3.9,5.5,4,11.6,5.8,63.7,11.1,24.9,9,0.3,0.5,2.9,2.9,11.8,6.8,0.4,0.2,0.7194,0,0.7312,0.8108,0.8512,3.1126,0.7004,0.1182,0.6375,0.2835,0.4938,0.9732,2.5062,0.5187,0.8214,0.8214,0.8214,0.8698,0.2275,0.7024,0.8773,0.5952,3.2722,0.8785,9.7124,0.7795,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,4184,93,81,1088,443,889,413,77,66,0,14,0,14,260,174,49,75,5.9,5,29.3,10.7,24,10.7,2.1,1.8,0,1.1,0,1.1,7,4.7,1.3,2,Census,State,North Carolina,NC,37063,Durham County
37,North Carolina,NC,37063,Durham County,37063000200,Census Tract 2; Durham County; North Carolina,1.166480165,3381,666,1263,221,1100,196,1065,487,105,87,275,139,379,173,1046,339,205,46,615,219,375,170,45,57,535,273,1972,734,214,146,0,14,40,47,63,52,362,29,31.6,13,5.2,4.1,25,11.8,15.2,6.8,31,8.6,6.1,1.5,18.2,4.3,11.1,5.3,4.1,5.1,16.9,7.9,58.3,18.4,16.9,11.2,0,3.3,3.6,3.7,5.7,4.8,10.7,2.3,0.7357,0.5914,0.5312,0.7198,0.9917,3.5698,0.8258,0.0574,0.298,0.3395,0.3586,0.989,2.0425,0.262,0.7768,0.7768,0.7768,0.81,0,0.7709,0.6357,0.9411,3.1577,0.8395,9.5468,0.7633,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,3,3600,85,63,830,309,850,361,98,103,5,14,0,14,189,161,0,14,7.7,6,24.5,7.8,25.1,9.7,2.9,2.8,0.1,0.4,0,1.2,5.6,4.3,0,1.2,Census,State,North Carolina,NC,37063,Durham County
37,North Carolina,NC,37063,Durham County,37063000301,Census Tract 3.01; Durham County; North Carolina,0.612494838,2917,444,1670,332,1612,329,697,316,54,59,520,263,130,92,428,281,331,167,298,141,208,93,25,34,87,82,1403,539,147,76,4,8,18,26,179,173,13,2,24,10.2,2.7,2.8,32.3,14.9,5.4,3.9,14.7,8.4,11.3,5.5,10.2,4.4,7.2,3.2,1.6,2.1,3.2,2.9,48.1,17,8.8,4.2,0.2,0.5,1.1,1.5,11.1,10,0.4,0,0.554,0.2823,0.7467,0.2783,0.7691,2.6304,0.5439,0.2137,0.0559,0.1366,0.139,0.7764,1.3216,0.0481,0.6832,0.6832,0.6832,0.7051,0.2222,0.4423,0.8648,0.5952,2.8296,0.7236,7.4648,0.467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2104,254,176,745,287,341,212,21,24,0,14,0,14,296,194,0,14,15.8,9.9,25.5,8.4,11.7,6.8,0.7,0.8,0,1.4,0,1.4,10.1,6.3,0,1.4,Census,State,North Carolina,NC,37063,Durham County
37,North Carolina,NC,37063,Durham County,37063000302,Census Tract 3.02; Durham County; North Carolina,0.664925559,3662,404,1704,202,1607,180,715,323,23,22,461,210,168,125,346,218,276,59,844,206,182,95,179,137,193,200,1100,515,193,137,0,14,40,44,132,130,8,2,19.6,8.6,1,0.9,28.7,12.7,6.6,4.7,9.4,5.5,7.5,1.7,23,4.2,5,2.6,11.1,8.4,5.8,6,30,13.7,11.4,7.9,0,2.5,2.5,2.6,8.2,7.6,0.2,0,0.4419,0.0923,0.6641,0.3455,0.4663,2.0101,0.3348,0.0891,0.6224,0.0519,0.8156,0.8939,2.4729,0.5032,0.463,0.463,0.463,0.746,0,0.6641,0.7675,0.4762,2.6538,0.6513,7.5998,0.4905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1684,117,68,219,146,512,269,116,75,0,14,0,14,253,257,0,14,7.3,4.3,6,3.9,14,6.8,3.2,2.1,0,1.2,0,1.2,6.9,6.8,0,1.2,Census,State,North Carolina,NC,37063,Durham County
37,North Carolina,NC,37063,Durham County,37063000401,Census Tract 4.01; Durham County; North Carolina,1.327080065,2551,250,1200,128,1163,118,392,221,76,79,162,100,71,83,247,144,482,106,576,160,231,125,33,37,30,65,489,333,0,19,0,14,0,19,4,9,19,3,15.4,8.5,4.9,5.2,13.9,8.5,3.8,4.3,9.7,5.2,18.9,4,22.6,4.7,9.1,4.8,2.8,3.2,1.3,2.7,19.2,12.9,0,1.6,0,3.5,0,1.6,0.3,0.8,0.7,0.1,0.3253,0.5645,0.1363,0.19,0.4849,1.701,0.2527,0.6125,0.5921,0.2214,0.2442,0.5521,2.2223,0.3601,0.2855,0.2855,0.2855,0,0,0,0.0825,0.6794,0.7619,0.05,4.9707,0.1216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3166,40,48,87,76,246,196,67,53,0,14,9,14,50,55,30,28,3.4,3.9,3.4,3,9.6,7.2,2.6,2,0,1.6,0.4,0.6,2,2.2,1.2,1.1,Census,State,North Carolina,NC,37063,Durham County
37,North Carolina,NC,37063,Durham County,37063000402,Census Tract 4.02; Durham County; North Carolina,0.461727413,2653,378,1800,200,1645,202,999,239,50,54,761,207,53,37,290,155,169,59,167,72,104,61,32,51,37,56,937,505,911,121,0,14,7,17,163,63,0,14,37.7,7.2,3.2,3.4,46.3,11.2,2.5,1.8,10.9,5.5,6.4,2.4,6.3,2.7,3.9,2.3,1.9,3.1,1.4,2.2,35.3,18.4,50.6,3.7,0,2.3,0.4,0.9,9.9,4,0,0.5,0.8425,0.3507,0.9406,0.1322,0.5659,2.8319,0.6121,0.0638,0.0257,0.0291,0.1647,0.5702,0.8535,0.0193,0.5415,0.5415,0.5415,0.9682,0,0.3048,0.8289,0,2.1019,0.4078,6.3288,0.2902,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,4209,120,87,136,93,235,129,355,153,13,23,0,14,143,113,55,52,7.3,5.3,5.1,3.4,8.9,4.8,13.4,5.8,0.5,0.8,0,1.6,5.4,4,2.1,1.9,Census,State,North Carolina,NC,37063,Durham County
37,North Carolina,NC,37063,Durham County,37063000500,Census Tract 5; Durham County; North Carolina,0.835224727,4432,647,1758,175,1523,176,1557,461,72,55,720,190,404,143,428,298,493,122,753,299,447,168,96,52,206,172,2778,729,511,126,27,45,76,59,381,150,732,18,42,10,3.6,3,47.3,11.2,16.1,5.4,10.2,6.8,11.1,3.1,17,4.9,10.6,4.1,6.3,3.3,4.9,4.1,62.7,13.7,29,6.6,1.5,2.5,5,3.3,25,8.6,16.5,2.4,0.8872,0.4007,0.9481,0.7508,0.5204,3.5072,0.8121,0.2047,0.2364,0.3077,0.5585,0.8716,2.1789,0.3378,0.8142,0.8142,0.8142,0.8948,0.3206,0.8584,0.9765,0.9607,4.011,0.992,10.5113,0.8723,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,5577,177,83,1826,634,492,330,319,203,43,62,0,14,98,62,0,14,11.6,5.2,41.2,10.7,11.1,7.2,7.2,4.5,1,1.4,0,1,2.2,1.4,0,1,Census,State,North Carolina,NC,37063,Durham County
37,North Carolina,NC,37063,Durham County,37063000600,Census Tract 6; Durham County; North Carolina,2.749763618,4724,624,2587,458,2327,455,716,343,6,23,644,344,266,162,664,348,497,95,760,228,368,179,24,43,224,200,1773,791,546,319,0,14,38,57,130,114,265,22,15.2,7,0.2,0.8,27.7,13.8,7.3,4.3,14.1,6.7,10.5,2.5,16.1,4.2,7.8,4,1,1.8,5,4.4,37.5,16,21.2,11.7,0,1.6,1.6,2.2,5.6,4.6,5.6,0.9,0.32,0.042,0.6304,0.3807,0.7475,2.1206,0.3727,0.1835,0.199,0.1639,0.0928,0.8746,1.5138,0.0825,0.5714,0.5714,0.5714,0.8478,0,0.5214,0.6312,0.9101,2.9105,0.7516,7.1163,0.4189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4455,249,277,625,345,322,313,245,161,33,48,0,14,548,259,0,14,10.7,11.3,13.2,7,6.8,6.4,5.2,3.4,0.7,1,0,0.9,11.6,5.3,0,0.9,Census,State,North Carolina,NC,37063,Durham County
37,North Carolina,NC,37063,Durham County,37063000700,Census Tract 7; Durham County; North Carolina,1.300413158,3965,556,2196,158,2084,163,743,208,31,30,580,169,166,106,182,104,542,113,755,279,698,158,62,58,0,56,1329,761,1074,172,0,14,30,36,358,133,24,3,18.9,4.6,1.4,1.3,27.8,7.8,5.8,3.7,4.6,2.7,13.7,3.1,19,4.9,17.6,4.7,3,2.8,0,1.5,33.5,18.6,48.9,7,0,1.9,1.4,1.6,17.2,6.2,0.6,0.1,0.4211,0.1313,0.6346,0.301,0.1597,1.6477,0.2375,0.3293,0.3505,0.7385,0.2594,0,1.6777,0.1234,0.5189,0.5189,0.5189,0.9637,0,0.4896,0.9451,0.6567,3.0551,0.8005,6.8994,0.3795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,2,4178,268,124,769,206,209,137,99,61,0,14,0,14,241,147,11,21,12.9,5.7,19.4,5.9,5.3,3.3,2.5,1.5,0,1.1,0,1.1,6.1,3.6,0.3,0.5,Census,State,North Carolina,NC,37063,Durham County
37,North Carolina,NC,37063,Durham County,37063000900,Census Tract 9; Durham County; North Carolina,0.395962273,1853,324,915,158,767,164,728,204,20,31,203,77,357,157,632,206,107,20,381,119,126,56,103,59,204,145,1557,337,43,61,0,14,0,19,119,66,9,4,39.9,8.9,1.8,3,26.5,8.3,28.2,9.9,34.1,8.8,5.8,1.4,20.6,5.6,6.8,3,13.5,7.1,11.8,8.1,84,10.7,4.7,6.6,0,4.5,0,2.1,15.5,8.4,0.5,0.2,0.8679,0.1722,0.5888,0.9694,0.9951,3.5934,0.8307,0.0502,0.4528,0.117,0.8868,0.9739,2.4807,0.507,0.9392,0.9392,0.9392,0.6177,0,0,0.9326,0.6269,2.1772,0.4415,9.1905,0.7227,0,0,0,1,1,2,0,0,0,0,1,1,1,1,0,0,0,1,0,1,5,843,159,125,723,173,674,269,23,21,0,14,53,81,66,47,18,28,20.7,13.3,39,8.2,36.4,10.9,1.2,1.2,0,2.3,2.9,4.5,3.6,2.5,1,1.5,Census,State,North Carolina,NC,37063,Durham County
