Seg,AvgBA,PercCorrMulch,PercUrbanApp,PercResTree,PercCOMM_MxTree,PercSC,PercGar3o4,PercDisc3o4,PercDBK5,PercCS4o5,SimpsonsDivSpp,SimpsonsDivGen,totNumTrees,PercRes_z,PercComm_z,PercInst_z,PercHispanicLatine11,PercHispanicLatine21,PercBlack11,PercBlack21,PercWhiteNonHL11,PercWhiteNonHL21,MedHouseInc11,MedHouseInc21,PercRent11,PercRent21,PercRMov11,PercRMov21,SVI,Change_PHL,Change_PBl,Change_PWnHL,Change_MedHHI,Avg_PRent,Avg_Rmov,NumBuild,NumConst_since11,NumConst_since15,NumDemo_since11,NumDemo_since15,NumReno_since11,NumReno_since15,AftTemp50m,AftTemp10m,AllConst_since11
1,0.244944929,1.00E-04,1.00E-04,1,0,1.00E-04,0.25,1.00E-04,1.00E-04,1.00E-04,0.625,0.625,4,1,0,0,0.027159916,0.102792632,0.769374854,0.715983363,0.070709436,0.159239453,52939.9297,59702,0.415789474,0.472972973,0.593421053,0.432952183,0.8883,0.075632716,-0.053391491,0.088530018,6762.0703,0.444381223,0.513186618,52,0,0,0,0,4,3,28.87438056,28.927875,4
2,0.042830174,1.00E-04,0.071428571,1,0,1.00E-04,0.428571429,0.071428571,1.00E-04,1.00E-04,0.255102041,0.255102041,14,1,0,0,0.173300175,0.142207765,0.14469989,0.230973018,0.647399896,0.596454685,61025.37528,75589.42705,0.396550583,0.439104375,0.410527103,0.400443428,0.622041937,-0.03109241,0.086273127,-0.050945211,14564.05178,0.417827479,0.405485265,52,1,1,0,0,10,9,28.70098556,28.72330111,11
3,0.014233413,1.00E-04,0.9999,1,0,1.00E-04,0.9999,0.9999,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1,1,0,0,0.04527845,0.144472121,0.277723971,0.203678866,0.570217918,0.529603372,55671.125,55080,0.540526849,0.508428067,0.598277609,0.604076833,0.4273,0.099193671,-0.074045105,-0.040614545,-591.125,0.524477458,0.601177221,50,0,0,0,0,14,11,NA,NA,14
4,0.222746798,0.285714286,0.071428571,1,0,1.00E-04,0.071428571,0.071428571,1.00E-04,1.00E-04,0.642857143,0.602040816,14,0.927663902,0.072336098,0,0.223858158,0.207822224,0.345820417,0.296574944,0.409369774,0.429406671,46167.31624,52230.13037,0.482001582,0.561692993,0.486199429,0.533605255,0.737656224,-0.016035934,-0.049245473,0.020036897,6062.814131,0.521847287,0.509902342,78,3,3,1,1,9,8,29.26424667,29.29501444,12
5,0.002012538,1.00E-04,0.487179487,1,0,1.00E-04,0.051282051,0.435897436,0.076923077,0.256410256,0.791584484,0.737672584,39,1,0,0,0.198923731,0.103475084,0.496815611,0.582566818,0.269595311,0.285219489,45645.51472,73653.40022,0.409216241,0.30163799,0.315060899,0.412285888,0.593749237,-0.095448647,0.085751207,0.015624177,28007.88551,0.355427115,0.363673394,148,3,3,0,0,7,6,28.54687611,28.55639556,10
6,0.049675534,0.302631579,0.671052632,0.065789474,0.394736842,0.118421053,0.105263158,0.302631579,0.118421053,0.210526316,0.843144044,0.801246537,76,0.223941043,0.065060406,0,0.05894627,0.09107946,0.074074074,0.061844078,0.680751174,0.674662669,49912.6242,38456,0.799279928,0.854027862,0.708370837,0.84857662,0.2902,0.03213319,-0.012229996,-0.006088505,-11456.6242,0.826653895,0.778473729,55,4,2,3,1,18,12,29.30443222,29.32916444,22
7,0.009151861,0.714285714,1.00E-04,0,0,1.00E-04,1.00E-04,0.428571429,0.142857143,0.285714286,1.00E-04,1.00E-04,7,0.209889213,0.007029043,0.754226254,0.129468262,0.096049422,0.247288783,0.290101427,0.402309082,0.453636476,16298.55392,35009,0.97250314,0.99104755,0.72978074,0.958115324,0.447855649,-0.03341884,0.042812644,0.051327394,18710.44608,0.981775345,0.843948032,48,0,0,0,0,0,0,29.42853278,29.44174444,0
8,0.086783527,0.433962264,0.301886792,0.849056604,0,0.547169811,0.41509434,0.150943396,0.056603774,0.113207547,0.921324315,0.815948736,53,0.99156369,0,0.00843631,0.105896093,0.194529301,0.397539459,0.266495161,0.414606484,0.448163797,41926.96089,61343.01261,0.57354448,0.570531432,0.518703838,0.621149528,0.715264529,0.088633208,-0.131044298,0.033557313,19416.05172,0.572037956,0.569926683,6,8,5,2,1,57,42,28.88767667,28.92143667,65
9,0.010650374,0.547619048,0.25,0.345238095,0.202380952,1.00E-04,1.00E-04,0.357142857,0.142857143,0.297619048,0.818594104,0.815759637,84,0.424826663,0.140406023,0,0.170606206,0.135076545,0.416378081,0.28107805,0.317460819,0.463785029,41438.64579,71867.83837,0.774679183,0.678737482,0.635975222,0.748148928,0.46332469,-0.03552966,-0.135300031,0.14632421,30429.19258,0.726708332,0.692062075,38,25,25,3,3,14,11,29.24546111,29.28447278,39
10,0.160945497,1.00E-04,0.166666667,1,0,1.00E-04,0.166666667,0.166666667,1.00E-04,1.00E-04,0.611111111,0.611111111,6,1,0,0,0.346709739,0.444139807,0.536234534,0.343580476,0.100269779,0.112057211,28366.45756,30803.06705,0.75750631,0.676006924,0.6209061,0.477421637,0.925542987,0.097430068,-0.192654058,0.011787432,2436.60949,0.716756617,0.549163868,94,9,8,3,1,28,26,28.66401667,28.69859056,37
