Tree Name,Previous Name (HTHC),Date,Extra Sheet collection complete,Street Segment,Tree Number,Genus,Species,Species ID Code,Tree tag present,Tree tag year,Tree tag number,ID Notes,Double-Check ID,Multi-stemmed,DBH (in),Height measured (DBH),DBH 2 (in),DBH 3 (in),DBH 4 (in),DBH 5 (in),Land Use Type,Site type,Ground Cover,Street,Sidewalk,Powerline,Mulch,Mulch volcano,Pruned,Mowing,Protection at base,Stake,Cement fence at base,Compaction Not Possible,Compaction Collection Date,Compaction 1,Compaction 2,Compaction 3,Compaction 4,Compaction 5,Compaction 6,Removed
49-MOAL-002,46-01-MOAL-003,6/7/2022,TRUE,49,002,Morus,alba,MOAL,FALSE,,,,FALSE,FALSE,26.8,,,,,,SFR-D,SC,Impervious surface,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,6/7/2022,4.5+,4.5+,4.5+,4.5+,4.5+,4.5+,FALSE
49-PRCE-003,46-01-PRCE-004,6/7/2022,TRUE,49,003,Prunus,cerasifera,PRCE,FALSE,,,,FALSE,FALSE,9.4,,,,,,SFR-D,SP,Mixed - Penetrable & Impervious,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,6/7/2022,4.5+,3.3,4.5+,4.5,4.5,4.5+,FALSE
49-ULUN-004,46-01-ULUNK-005,6/7/2022,TRUE,49,004,Ulmus,unknown,ULUN,FALSE,,,looks like Siberian elm,TRUE,FALSE,8.6,,,,,,SFR-D,SP,Mixed - Penetrable & Impervious,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,6/7/2022,4.5,4,3,4.3,4.5+,2.3,FALSE
49-ACPL-005,46-01-ACPL-006,6/7/2022,TRUE,49,005,Acer,platanoides,ACPL,FALSE,,,,FALSE,FALSE,3.9,,,,,,SFR-D,SP,Mixed - Penetrable & Impervious,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,6/7/2022,4.3,4.5+,4.5+,4.5+,4.4,4.5+,FALSE
49-PYCA-006,46-01-PYCA-007,6/7/2022,TRUE,49,006,Pyrus,calleryana,PYCA,FALSE,,,,FALSE,FALSE,7.8,"3' 1.5""",,,,,SFR-D,SP,Mixed - Penetrable & Impervious,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,6/7/2022,4.5+,4.5+,4.5+.,4.5,4.5+,4.5+,FALSE
49-ACPL-007,46-01-ACPL-008,6/7/2022,TRUE,49,007,Acer,platanoides,ACPL,FALSE,,,,FALSE,FALSE,11.3,,,,,,SFR-D,SP,Mixed - Penetrable & Impervious,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,6/7/2022,4.5+,4.5,4.5+,4.5+,4.5+,4.5+,FALSE
49-ACPL-008,46-01-ACPL-009,6/7/2022,TRUE,49,008,Acer,platanoides,ACPL,FALSE,,,,FALSE,FALSE,14.3,"3' 11.5""",,,,,SFR-D,SP,Mixed - Penetrable & Impervious,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,6/7/2022,4.5+,4,3.3,4.5+,4.5+,4.5+,FALSE
49-PRCE-009,46-01-PRCE-010,6/7/2022,TRUE,49,009,Prunus,cerasifera,PRCE,FALSE,,,,FALSE,FALSE,8,,,,,,SFR-D,SP,Mixed - Penetrable & Impervious,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,6/7/2022,4.5+,4.5+,4.5,4.5+,4.5+,4.5+,FALSE
49-PRCE-010,46-01-PRCE-011,6/7/2022,TRUE,49,010,Prunus,cerasifera,PRCE,FALSE,,,,FALSE,FALSE,2.8,,,,,,SFR-D,SP,Mixed - Penetrable & Impervious,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,6/7/2022,4.1,4.5+,4.5+,4.5+,4.5+,4.5+,FALSE
49-FRUN-011,46-01-FRUNK-012,6/7/2022,TRUE,49,011,Fraxinus,unknown,FRUN,TRUE,,,Likely green ash,FALSE,FALSE,19.7,,,,,,SFR-D,SP,Mixed - Penetrable & Impervious,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,6/7/2022,4.3,3.5,3.2,4.1,2.6,4.4,FALSE
