Date,Grid Cell,Tree Number,Species ID Code,Genus,Species,ID Notes,Land Use Type,Site type,EC Collection Date,EC (mS/cm) - parallel to road,EC (mS/cm) - street side,EC (mS/cm) - sidewalk side,EC (mS/cm),Removed/Gone
6/17/21,46,001,ACXFR,Acer,x fremanii,bark oddly smooth,COMM,SC,,,,,"0.37,0.41",TRUE
6/17/21,46,002,GYDI,Gymnocladus,dioicus,,COMM,SC,6/25/21,"0.22, 0.20",0.53,0.69,"0.22P, 0.20P (70.9F), 0.53St, 0.69Si",FALSE
6/17/21,46,003,MOAL,Morus,alba,"weird leaves like morus spp. but leaves are big, within 7in but different from in Douglass Park. No berries to use for ID",SFR-D,SP,6/25/21,"1.74, 0.42",0.42,0.88,"1.74P, 0.42P, 0.42St, ",FALSE
6/17/21,46,004,PRCE,Prunus,cerasifera,deep purple leaves with brownish-purple berries,SFR-D,SP,6/25/21,"0.30, 0.77",0.64,0.33,"0.30P, 0.77P, 0.64St, 0.33Si",FALSE
6/17/21,46,005,ULUNK,Ulmus,unknown,elm-like leaves but small. Dark bark with red/orange tinge to inner bark. Looks like Ulmus crassifolia but the bark is wrong,SFR-D,SP,6/25/21,"0.46, 0.71",0.43,1.34,"0.46P, 0.71P, 0.43St, 1.34Si",FALSE
6/17/21,46,006,ACPL,Acer,platanoides,"Dark red veins on leaf + petiole, white bark with orange inner bark; likely Crimson King cultivar",SFR-D,SP,6/25/21,"0.39, 0.42",0.39,1.81,"0.39P, 0.42P, 0.39St, 1.81Si",FALSE
6/17/21,46,007,PYCA,Pyrus,calleryana,"Looks like P. calleryana but no flowers, only one immature berry. Purplish brown bark with white/light inner wood. Heart-shaped to oval leaves with pointed tips and reddish-brown flecks on midvein",SFR-D,SP,6/25/21,"0.45, 1.03",0.18,0.53,"0.45P, 1.03P, 0.18St, 0.53Si",FALSE
6/17/21,46,008,ACPL,Acer,platanoides,Dark bark with some grey bits and an orangey inner bark. Extra teeth on leaves but not extreme. Petiole is reddish but the veins are not,SFR-D,SP,6/25/21,"0.47, 0.13",0.31,0.35,"0.47P, 0.13P, 0.31St, 0.35Si",FALSE
6/17/21,46,009,ACPL,Acer,platanoides ,same species as tree 008,SFR-D,SP,6/25/21,"0.27, 0.38",0.26,0.31,"0.27P, 0.38P, 0.26St, 0.31Si",FALSE
6/17/21,46,010,PRCE,Prunus,cerasifera,,SFR-D,SP,6/25/21,"0.22, 0.42",0.63,0.65,"0.22P, 0.42P, 0.63St, 0.65Si",FALSE
6/17/21,46,011,PRCE,Prunus,cerasifera,,SFR-D,SP,6/25/21,"0.17, 0.29",0.39,0.3,"0.17 (70.4 P), 0.29P, 0.39St, 0.30Si",FALSE
6/17/21,46,012,FRUNK,Fraxinus,unknown,"Leaf with terminal leaflet. Fraxinus-style seed bundles. Bark ridges almost form waves on larger branches. Orange inner bark. Rounded seeds, narrow-ish leaflet shape",SFR-D,SP,6/25/21,"0.38, 0.72",0.45,0.65,"0.38P (inside fence, 69.9), 0.72P, 0.45St (inside cement), 0.65 Si",FALSE
