"","Segment","AvgBA","PercCorrMulch","PercUrbanApp","PercResTree","PercCOMM_MxTree","PercSC","PercGar3o4","PercDisc3o4","PercDBK5","PercCS4o5","SimpsonsDivSpp","SimpsonsDivGen","totNumTrees","PercRes_z","PercComm_z","PercInst_z","PercHispanicLatine11","PercHispanicLatine21","PercBlack11","PercBlack21","PercWhiteNonHL11","PercWhiteNonHL21","MedHouseInc11","MedHouseInc21","PercRent11","PercRent21","PercRMov11","PercRMov21","SVI","Change_PHL","Change_PBl","Change_PWnHL","Change_MedHHI","Avg_PRent","Avg_Rmov","NumBuild","NumConst_since11","NumConst_since15","NumDemo_since11","NumDemo_since15","NumReno_since11","NumReno_since15","AftTemp50m","AftTemp10m","AllConst_since11"
"1","H21",0.244944928933126,1e-04,1e-04,1,0,1e-04,0.25,1e-04,1e-04,1e-04,0.625,0.625,4,1,0,0,0.0271599157106064,0.102792632204397,0.769374853664247,0.715983363042187,0.0707094357293374,0.1592394533571,52939.9297,59702,0.415789473684211,0.472972972972973,0.593421052631579,0.432952182952183,0.8883,0.0756327164937905,-0.0533914906220607,0.088530017627763,6762.0703,0.444381223328592,0.513186617791881,52,0,0,0,0,4,3,28.8743805555556,28.927875,4
"2","K18",0.0428301735385433,1e-04,0.0714285714285714,1,0,1e-04,0.428571428571429,0.0714285714285714,1e-04,1e-04,0.255102040816327,0.255102040816327,14,1,0,0,0.17330017499363,0.142207765132654,0.144699890333386,0.230973017565927,0.64739989581025,0.596454685269529,61025.3752773184,75589.4270525694,0.396550582963896,0.439104375208724,0.410527102688028,0.400443427644479,0.62204193738925,-0.0310924098609763,0.0862731272325411,-0.0509452105407215,14564.051775251,0.41782747908631,0.405485265166254,52,1,1,0,0,10,9,28.7009855555556,28.7233011111111,11
"3","M19",0.222746798141692,0.285714285714286,0.0714285714285714,1,0,1e-04,0.0714285714285714,0.0714285714285714,1e-04,1e-04,0.642857142857143,0.602040816326531,14,0.927663901647586,0.0723360983524143,0,0.223858158345633,0.207822224327029,0.345820416973865,0.296574944073016,0.40936977399766,0.429406670564246,46167.3162367158,52230.130367222,0.482001581733011,0.561692992825103,0.486199428762373,0.533605255005221,0.737656223578072,-0.0160359340186043,-0.0492454729008492,0.0200368965665867,6062.8141305062,0.521847287279057,0.509902341883797,78,3,3,1,1,9,8,29.2642466666667,29.2950144444444,12
"4","M22",0.00201253816697955,1e-04,0.487179487179487,1,0,1e-04,0.0512820512820513,0.435897435897436,0.0769230769230769,0.256410256410256,0.791584483892176,0.73767258382643,39,1,0,0,0.198923730566695,0.103475083825491,0.49681561074232,0.582566817692813,0.26959531122501,0.285219488657792,45645.5147157369,73653.4002220372,0.40921624076144,0.301637989582554,0.31506089935396,0.412285887914689,0.593749236747155,-0.0954486467412044,0.085751206950493,0.0156241774327822,28007.8855063003,0.355427115171997,0.363673393634324,148,3,3,0,0,7,6,28.5468761111111,28.5563955555556,10
"5","N14",0.0142334130878487,1e-04,0.9999,1,0,1e-04,0.9999,0.9999,1e-04,1e-04,1e-04,1e-04,1,1,0,0,0.0452784503631961,0.144472121095995,0.27772397094431,0.203678865683081,0.570217917675545,0.529603372293543,55671.125,55080,0.540526849037487,0.508428067424539,0.598277608915907,0.604076832614661,0.4273,0.0991936707327993,-0.0740451052612289,-0.0406145453820019,-591.125,0.524477458231013,0.601177220765284,50,0,0,0,0,14,11,NA,NA,14
"6","O18",0.00915186094032809,0.714285714285714,1e-04,0,0,1e-04,1e-04,0.428571428571429,0.142857142857143,0.285714285714286,1e-04,1e-04,7,0.209889212570621,0.00702904307909605,0.754226253531073,0.129468262056328,0.0960494222163272,0.24728878310313,0.290101427144781,0.402309082218128,0.453636476460936,16298.5539236239,35009,0.972503139724008,0.991047550113286,0.729780740176114,0.958115323744303,0.447855649352799,-0.0334188398400011,0.0428126440416517,0.0513273942428074,18710.4460763761,0.981775344918647,0.843948031960209,48,0,0,0,0,0,0,29.4285327777778,29.4417444444444,0
"7","O19",0.0496755344175802,0.302631578947368,0.671052631578947,0.0657894736842105,0.394736842105263,0.118421052631579,0.105263157894737,0.302631578947368,0.118421052631579,0.210526315789474,0.84314404432133,0.801246537396122,76,0.223941042928688,0.0650604059002704,0,0.0589462702138758,0.0910794602698651,0.0740740740740741,0.0618440779610195,0.68075117370892,0.674662668665667,49912.6242,38456,0.799279927992799,0.854027861901878,0.708370837083708,0.848576620230164,0.2902,0.0321331900559892,-0.0122299961130546,-0.00608850504325309,-11456.6242,0.826653894947338,0.778473728656936,55,4,2,3,1,18,12,29.3044322222222,29.3291644444444,22
"8","O21",0.0867835270307704,0.433962264150943,0.30188679245283,0.849056603773585,0,0.547169811320755,0.415094339622641,0.150943396226415,0.0566037735849057,0.113207547169811,0.921324314702741,0.815948736205055,53,0.991563689571211,0,0.00843631042878862,0.105896092716983,0.194529300957322,0.397539459038171,0.266495161385286,0.414606484156088,0.448163797149775,41926.9608909121,61343.0126087404,0.573544479904559,0.570531431583234,0.518703837829543,0.621149527515476,0.715264528629728,0.0886332082403382,-0.131044297652885,0.0335573129936868,19416.0517178283,0.572037955743897,0.56992668267251,6,8,5,2,1,57,42,28.8876766666667,28.9214366666667,65
"9","P21",0.0106503735100835,0.547619047619048,0.25,0.345238095238095,0.202380952380952,1e-04,1e-04,0.357142857142857,0.142857142857143,0.297619047619048,0.81859410430839,0.815759637188209,84,0.424826662732771,0.140406023399113,0,0.170606205542337,0.135076545083056,0.416378081497594,0.281078050035112,0.317460819496578,0.463785029357482,41438.6457942206,71867.8383736368,0.774679183245771,0.678737481567035,0.635975221714657,0.748148928479769,0.463324690489429,-0.0355296604592815,-0.135300031462482,0.146324209860904,30429.1925794163,0.726708332406403,0.692062075097213,38,25,25,3,3,14,11,29.2454611111111,29.2844727777778,39
"10","Q18",0.149904340616204,1e-04,1e-04,1,0,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1,0.972791793541814,0.0272082064581862,0,0.249949279772773,0.151317018494302,0.27084601339014,0.221184382589202,0.425441265976872,0.517653652157669,70403.2093,63389,0.432635534084809,0.421522921522922,0.489533011272142,0.507770007770008,0.4189,-0.0986322612784711,-0.0496616308009377,0.092212386180797,-7014.2093,0.427079227803865,0.498651509521075,58,4,4,0,0,12,9,28.1938383333333,28.2305866666667,16
"11","Q21",0.0265495104564027,0.274193548387097,0.403225806451613,0,0.725806451612903,0.241935483870968,0.17741935483871,0.370967741935484,0.241935483870968,0.225806451612903,0.758064516129032,0.732570239334027,62,0,0,0,0.106268392621575,0.0897953483354107,0.366356785106146,0.259929372928701,0.394044122429947,0.541651887592577,43657.4425124126,74438.1807644331,0.76403553458035,0.738663859424523,0.654028426139893,0.759790784093057,0.448749059756643,-0.0164730442861646,-0.106427412177445,0.14760776516263,30780.7382520205,0.751349697002437,0.706909605116475,81,0,0,0,0,58,29,29.5490094444444,29.5409733333333,58
"12","Q23",0.160945496585738,1e-04,0.166666666666667,1,0,1e-04,0.166666666666667,0.166666666666667,1e-04,1e-04,0.611111111111111,0.611111111111111,6,1,0,0,0.346709739272625,0.444139807392836,0.536234533849092,0.343580476057964,0.100269779073096,0.112057211161655,28366.4575577528,30803.067047751,0.757506309945215,0.676006923995904,0.620906099726558,0.477421636955606,0.925542987470408,0.0974300681202114,-0.192654057791128,0.0117874320885591,2436.60948999826,0.71675661697056,0.549163868341082,94,9,8,3,1,28,26,28.6640166666667,28.6985905555556,37
"13","R21",0.10805030284275,0.193548387096774,0.258064516129032,0.709677419354839,0,1e-04,1e-04,0.32258064516129,0.032258064516129,0.129032258064516,0.759625390218522,0.751300728407909,31,0.924867118407893,0.00701210261942487,0.068120778972682,0.0236286967023518,0.175190722438078,0.856400134153074,0.676927243156811,0.0468291033536424,0.135393840650656,20932.3671446078,41687.4833294003,0.638091432946548,0.763647864418987,0.485677325459787,0.5536137835753,0.868482624818798,0.151562025735726,-0.179472890996263,0.0885647372970138,20755.1161847925,0.700869648682767,0.519645554517544,80,14,14,4,4,22,20,29.0250311111111,29.0499283333333,36
"14","R24",0.00975757379634795,0.318181818181818,0.363636363636364,0.954545454545455,0,1e-04,0.181818181818182,0.136363636363636,0.136363636363636,0.181818181818182,0.710743801652893,0.710743801652893,22,0.805928187002972,0,0,0.292870827848722,0.348831882796623,0.616020813864725,0.463788701846223,0.0705619442721604,0.121634585858454,28688.065389344,29332.0001262293,0.709101001945143,0.663414485714282,0.696493839107499,0.538049287673581,0.949110785720023,0.0559610549479007,-0.152232112018502,0.0510726415862931,643.934736885349,0.686257743829713,0.61727156339054,59,2,2,1,0,7,7,28.7280016666667,28.7417644444444,9
