,ModelType,DepVar,R2,Pred1,Pred2,Pred3,Pred4,Pred5,Pred6,,,,,,,,
1,beta,PercSC,0.518516704,Change_MedHHI,Change_PRent,Change_PWnHL,NumConst_since15,PercCOMM_MxTree,Change_Rmov,,,,,,,,
2,lin,AftTemp,0.436820816,Change_PWnHL,PercCOMM_MxTree,,,,,,,,,,,,
3,beta,PercGar3o4,0.420542047,NumBuild,PercCOMM_MxTree,AftTemp,,,,,,,,,,,
4,beta,SimpDivSpp,0.345227463,Change_MedHHI,Change_PRent,Change_PWnHL,NumConst_since15,Change_Rmov,,,,,,,,,
5,beta,SimpDivGen,0.30905167,Change_MedHHI,Change_PRent,Change_Rmov,NumConst_since15,PercCOMM_MxTree,Change_PWnHL,,,,,,,,
6,lin,AvgBA,0.480654037,NumBuild,,,,,,,,,,,,,
7,pois,NumTrees,0.527750126,AftTemp,NumBuild,PercComm_z,,,,,,,,,,,
8,beta,PercUrbanApp,0.481026058,Change_MedHHI,Change_PRent,Change_PWnHL,PercCOMM_MxTree,Change_Rmov,,,,,,,,,
9,beta,PercDisc,0.749074959,Change_MedHHI,Change_PRent,Change_PWnHL,NumConst_since15,PercCOMM_MxTree,Change_Rmov,,,,,,,,
10,beta,PercDBK,0.535309122,Change_MedHHI,Change_PRent,Change_PWnHL,NumConst_since15,PercCOMM_MxTree,Change_Rmov,,,,,,,,
11,beta,PercCS,0.73250605,Change_MedHHI,Change_PRent,Change_PWnHL,NumConst_since15,PercCOMM_MxTree,Change_Rmov,,,,,,,,
