"","ModelType","DepVar","model","R2"
"1","beta","PercSC","betareg(formula =  PercSC ~ Change_MedHHI + PercCOMM_MxTree + Change_PRent + Change_PWnHL + NumConst_since11 + NumReno_since11 + Change_Rmov data = Seg_allData )",0.60794630552147
"2","lin","AftTemp","AftTemp ~ PercCOMM_MxTree + Change_PWnHL",0.436820816119113
"3","beta","PercGar3o4","betareg(formula =  PercGar3o4 ~ NumConst_since11 + Change_MedHHI + Change_Rmov + PercCOMM_MxTree + NumReno_since11 + Change_PRent data = Seg_allData )",0.512720098002129
"4","beta","SimpDivSpp","betareg(formula =  SimpsonsDivSpp ~ Change_PWnHL + NumReno_since11 + Change_Rmov + NumConst_since11 + Change_MedHHI + Change_PRent data = Seg_allData )",0.464583888556075
"5","beta","SimpDivGen","betareg(formula =  SimpsonsDivGen ~ NumReno_since11 + Change_PWnHL + Change_Rmov + Change_MedHHI + NumConst_since11 + PercCOMM_MxTree data = Seg_allData )",0.367405056453755
"6","lin","AvgBA","AvgBA ~ PercCOMM_MxTree + NumConst_since11 + Change_PWnHL + Change_MedHHI + Change_Rmov",0.229858937969234
"7","pois","NumTrees","totNumTrees ~ PercComm_z + Change_PWnHL + Change_Rmov",0.372408482142728
"8","beta","PercUrbanApp","betareg(formula =  PercUrbanApp ~ Change_PWnHL + PercCOMM_MxTree + Change_PRent + Change_Rmov + Change_MedHHI + NumConst_since11 data = Seg_allData )",0.499681090987756
"9","beta","PercDisc","betareg(formula =  PercDisc3o4 ~ Change_Rmov + Change_MedHHI + PercCOMM_MxTree + Change_PRent + Change_PWnHL + NumConst_since11 + NumReno_since11 data = Seg_allData )",0.899627590358159
"10","beta","PercDBK","betareg(formula =  PercDBK5 ~ NumConst_since11 + Change_MedHHI + Change_Rmov data = Seg_allData )",0.461672901149251
"11","beta","PercCS","betareg(formula =  PercCS4o5 ~ Change_Rmov + Change_PRent + PercCOMM_MxTree + Change_MedHHI + NumConst_since11 + Change_PWnHL + NumReno_since11 data = Seg_allData )",0.757800002742156
