"","ModelType","DepVar","model","R2"
"1","beta","SimpDivSpp","betareg(formula =  SimpsonsDivSpp ~ Change_PWnHL + Change_MedHHI + Avg_Rmov + PercCOMM_MxTree + AllConst_since11 data = Seg_allData )",0.310863484071053
"2","beta","SimpDivGen","betareg(formula =  SimpsonsDivGen ~ Change_PWnHL + Change_MedHHI + Avg_Rmov + PercCOMM_MxTree data = Seg_allData )",0.26835382344896
"3","lin","AvgBA","AvgBA ~ Avg_Rmov",0.152326767630102
"4","pois","NumTrees","totNumTrees ~ Change_PWnHL + Change_MedHHI + Avg_Rmov",0.383644293123965
"5","beta","PercUrbanApp","betareg(formula =  PercUrbanApp ~ Change_PWnHL + PercCOMM_MxTree + Avg_Rmov + AllConst_since11 + Change_MedHHI data = Seg_allData )",0.51069890915285
"6","beta","PercDisc","betareg(formula =  PercDisc3o4 ~ AllConst_since11 + PercCOMM_MxTree + Change_MedHHI + Avg_Rmov data = Seg_allData )",0.232706936295787
"7","beta","PercDBK","betareg(formula =  PercDBK5 ~ AllConst_since11 + Change_MedHHI + Avg_Rmov + Change_PWnHL data = Seg_allData )",0.414280262540182
"8","beta","PercCS","betareg(formula =  PercCS4o5 ~ AllConst_since11 + Avg_Rmov + PercCOMM_MxTree + Change_PWnHL data = Seg_allData )",0.374063713310853
"9","0","0","0",0
"10","0","0","0",0
"11","0","0","0",0
