,ModelType,DepVar,model,R2
1,beta,PercSC,NumReno_since15 + Change_MedHHI + PercCOMM_MxTree + Change_Rmov + Change_PRent + Change_PWnHL,0.79890443
2,lin,AftTemp,PercCOMM_MxTree + NumConst_since15 + Change_PRent,0.809833272
3,beta,PercGar3o4,NumConst_since15 + Change_PRent + NumReno_since15 + PercCOMM_MxTree + Change_MedHHI + Change_Rmov + Change_PWnHL,0.451428395
4,beta,SimpDivSpp,Change_Rmov + NumReno_since15 + PercCOMM_MxTree + Change_MedHHI + Change_PRent + Change_PWnHL + NumConst_since15,0.656278063
5,beta,SimpDivGen,Change_Rmov + Change_PWnHL + Change_MedHHI + PercCOMM_MxTree + Change_PRent + SVI,0.719701209
6,lin,AvgBA,PercCOMM_MxTree + NumConst_since15 + Change_PWnHL + Change_MedHHI + Change_Rmov,0.213277446
7,pois,NumTrees,PercCOMM_MxTree + NumConst_since15 + NumReno_since15 + Change_PWnHL + Change_Rmov,0.602563399
8,beta,PercUrbanApp,Change_Rmov + Change_PWnHL + PercCOMM_MxTree + SVI + Change_PRent + Change_MedHHI,0.345103665
9,beta,PercDisc,Change_Rmov + Change_MedHHI + NumReno_since15 + PercCOMM_MxTree + Change_PWnHL + NumConst_since15 + Change_PRent,0.347576131
10,beta,PercDBK,PercCOMM_MxTree + Change_PRent + Change_MedHHI + Change_PWnHL + NumReno_since15 + NumConst_since15 + Change_Rmov,0.445831722
11,beta,PercCS,Change_PRent + PercCOMM_MxTree + Change_MedHHI + Change_Rmov + Change_PWnHL + SVI,0.345230547
