"","ModelType","DepVar","model","R2"
"1","beta","PercSC","betareg(formula =  PercSC ~ NumReno_since11 + Change_PWnHL + Change_Rmov + Change_MedHHI + Change_PRent + PercCOMM_MxTree + NumConst_since11 data = SegM10Trees )",0.872683841371968
"2","lin","AftTemp","AftTemp10m ~ PercCOMM_MxTree + NumConst_since11 + Change_PRent",0.820369306554223
"3","beta","PercGar3o4","betareg(formula =  PercGar3o4 ~ NumConst_since11 + NumReno_since11 + Change_Rmov + Change_PRent + PercCOMM_MxTree + Change_MedHHI + Change_PWnHL data = SegM10Trees )",0.634546508963867
"4","beta","SimpDivSpp","betareg(formula =  SimpsonsDivSpp ~ Change_Rmov + NumReno_since11 + PercCOMM_MxTree + Change_MedHHI + Change_PWnHL + Change_PRent + NumConst_since11 data = SegM10Trees )",0.790668945339125
"5","beta","SimpDivGen","betareg(formula =  SimpsonsDivGen ~ Change_Rmov + Change_PWnHL + Change_MedHHI + PercCOMM_MxTree + Change_PRent + SVI data = SegM10Trees )",0.768059532572409
"6","lin","AvgBA","AvgBA ~ PercCOMM_MxTree + NumConst_since11 + Change_PWnHL + Change_MedHHI + Change_Rmov",0.26223643146439
"7","pois","NumTrees","totNumTrees ~ PercComm_z + NumConst_since11 + NumReno_since11 + Change_PWnHL + Change_Rmov",0.527627886487145
"8","beta","PercUrbanApp","betareg(formula =  PercUrbanApp ~ Change_Rmov + NumConst_since11 + NumReno_since11 + Change_MedHHI + Change_PWnHL + PercCOMM_MxTree + Change_PRent data = SegM10Trees )",0.437827293055809
"9","beta","PercDisc","betareg(formula =  PercDisc3o4 ~ Change_Rmov + Change_MedHHI + NumReno_since11 + PercCOMM_MxTree + Change_PWnHL + NumConst_since11 + Change_PRent data = SegM10Trees )",0.445933549446622
"10","beta","PercDBK","betareg(formula =  PercDBK5 ~ PercCOMM_MxTree + Change_PRent + Change_MedHHI + Change_PWnHL + NumReno_since11 + NumConst_since11 + Change_Rmov data = SegM10Trees )",0.41238930114536
"11","beta","PercCS","betareg(formula =  PercCS4o5 ~ Change_PRent + PercCOMM_MxTree + Change_MedHHI + Change_Rmov + Change_PWnHL + SVI data = SegM10Trees )",0.278127336169834
